Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
130,Cedric Mullins*,30,2TM,2LG,-0.2,105,410,362,50,80,22,0,16,53,16,4,39,101,.221,.298,.414,.713,99,.312,96,150,2,3,1,5,0,*8/HD,,mullice01
130,Cedric Mullins*,30,BAL,AL,0.1,91,355,314,42,72,19,0,15,49,14,4,34,85,.229,.305,.433,.738,105,.321,103,136,2,2,1,4,0,*8/DH,,mullice01
130,Cedric Mullins*,30,NYM,NL,-0.3,14,55,48,8,8,3,0,1,4,2,0,5,16,.167,.255,.292,.546,57,.257,56,14,0,1,0,1,0,8/H,,mullice01
131,Jonathan Aranda*,27,TBR,AL,3.1,103,409,358,53,113,22,0,12,54,0,2,40,102,.316,.394,.478,.871,143,.373,144,171,8,8,0,3,3,*3H/D,AS,arandjo01
132,Isaac Paredes,26,HOU,AL,2.5,94,409,351,51,91,15,1,19,50,0,1,49,67,.259,.359,.470,.829,128,.362,132,165,8,7,0,2,0,*5/DH,AS,paredis01
133,Ketel Marte#,31,ARI,NL,4.2,93,408,349,69,103,21,0,23,56,3,2,53,56,.295,.395,.553,.948,159,.403,157,193,8,5,0,1,5,4D/H,AS,marteke01
134,Jeremy Peña,27,HOU,AL,4.4,96,408,371,52,115,20,2,13,45,17,2,23,69,.310,.366,.480,.846,133,.369,132,178,7,11,1,2,2,*6/HD,AS,penaje02
135,Corey Seager*,31,TEX,AL,5.0,93,408,349,52,92,18,0,18,44,3,0,53,81,.264,.365,.470,.835,143,.359,142,164,12,4,0,2,10,*6/D,,seageco01
136,Luis Robert Jr.,27,CHW,AL,1.2,103,406,357,49,78,11,0,13,49,31,7,40,109,.218,.299,.359,.657,84,.308,88,128,8,2,1,3,3,*8/DH,,roberlu01
137,Gavin Sheets*,29,SDP,NL,0.4,109,405,367,41,93,17,1,15,54,2,1,32,79,.253,.316,.428,.744,105,.327,104,157,9,3,0,3,1,D7H3,,sheetga01
138,Ryan O'Hearn*,31,2TM,2LG,2.1,108,404,346,49,95,17,1,15,50,3,1,48,73,.275,.369,.460,.828,132,.358,132,159,10,6,0,4,4,3D9H/7,AS,ohearry01
138,Ryan O'Hearn*,31,BAL,AL,2.1,94,361,311,45,88,15,1,13,43,3,1,42,63,.283,.374,.463,.837,135,.362,136,144,10,5,0,3,3,3D9/H7,,ohearry01
138,Ryan O'Hearn*,31,SDP,NL,0.0,14,43,35,4,7,2,0,2,7,0,0,6,10,.200,.326,.429,.754,108,.321,99,15,0,1,0,1,1,/D3H9,,ohearry01
139,Matt Chapman,32,SFG,NL,3.5,96,403,345,53,79,15,2,16,44,7,2,52,100,.229,.337,.423,.761,120,.336,119,146,6,5,0,1,0,*5,,chapmma01
140,Victor Scott II*,24,STL,NL,2.2,116,402,349,49,78,14,1,5,35,31,2,37,99,.223,.311,.312,.623,77,.299,76,109,3,8,6,2,0,*8/97,,scottvi01
141,Ben Rice*,26,NYY,AL,1.3,104,396,343,53,82,21,2,18,45,3,2,41,79,.239,.334,.469,.804,121,.344,120,161,11,9,0,2,0,D32H,,ricebe01
142,Jacob Wilson,23,ATH,AL,2.0,94,396,369,46,115,17,0,10,45,5,2,21,31,.312,.354,.439,.793,119,.356,127,162,15,4,1,1,1,*6,AS,wilsoja05
143,Jesús Sánchez*,27,2TM,2LG,1.2,102,396,360,46,87,17,4,10,37,9,2,32,81,.242,.306,.394,.700,92,.314,92,142,9,2,0,2,1,*97H8/D,,sanchje02
143,Jesús Sánchez*,27,MIA,NL,0.9,86,337,305,40,78,12,4,10,36,9,2,29,70,.256,.320,.420,.740,103,.329,101,128,8,1,0,2,1,9H8/D7,,sanchje02
143,Jesús Sánchez*,27,HOU,AL,0.3,16,59,55,6,9,5,0,0,1,0,0,3,11,.164,.220,.255,.475,32,.228,34,14,1,1,0,0,0,7/9H,,sanchje02
144,Wilyer Abreu*,26,BOS,AL,3.2,108,395,352,52,89,16,0,22,69,6,3,39,93,.253,.325,.486,.811,122,.341,118,171,8,0,1,3,5,*9H/D,,abreuwi02
145,Wilmer Flores,33,SFG,NL,0.5,103,395,355,37,88,9,0,13,63,1,0,31,73,.248,.316,.383,.700,102,.320,109,136,14,6,0,3,0,D3H/5,,florewi01
146,Gavin Lux*,27,CIN,NL,0.1,109,395,352,39,99,20,1,5,47,1,0,43,93,.281,.359,.386,.746,103,.334,103,136,3,0,0,0,0,7D4H/5,,luxga01
147,Jorge Polanco#,31,SEA,AL,1.0,105,395,355,44,87,15,0,18,54,5,2,32,60,.245,.310,.439,.750,114,.324,114,156,5,3,2,3,1,D4H/53,,polanjo01
148,Nolan Arenado,34,STL,NL,1.1,96,394,361,43,85,15,1,10,43,2,0,28,39,.235,.294,.366,.660,86,.297,85,132,7,3,0,2,4,*5/DH,,arenano01
149,Byron Buxton,31,MIN,AL,3.9,92,394,354,73,99,15,4,25,61,18,0,31,106,.280,.340,.556,.897,140,.389,141,197,0,4,0,5,3,*8/D,AS,buxtoby01
150,Alec Bohm,28,PHI,NL,0.9,94,393,362,41,101,12,2,9,45,2,0,22,62,.279,.326,.398,.723,97,.325,97,144,13,5,0,4,0,53,,bohmal01
151,Kyle Manzardo*,24,CLE,AL,0.9,106,393,343,36,81,14,2,21,55,1,0,40,101,.236,.321,.472,.793,116,.342,116,162,5,5,0,5,1,D3H,,manzaky01
152,Isiah Kiner-Falefa,30,PIT,NL,1.7,109,392,366,37,97,17,2,1,33,15,3,17,61,.265,.304,.331,.635,78,.298,81,121,7,4,4,1,0,*65,,kineris01
153,Alejandro Kirk,26,TOR,AL,1.8,100,392,353,32,103,13,0,9,53,1,0,34,38,.292,.352,.405,.757,109,.332,108,143,9,1,0,4,2,*2/HD,AS,kirkal01
154,Shea Langeliers,27,ATH,AL,2.2,94,391,359,55,97,21,0,26,56,5,1,27,72,.270,.317,.546,.863,133,.362,130,196,8,0,0,5,1,2D/H,,langesh01
155,Jasson Domínguez#,22,NYY,AL,0.3,103,390,346,51,89,16,1,9,40,20,4,38,107,.257,.331,.387,.718,100,.325,100,134,5,2,0,4,1,*7D/H,,dominja01
156,Brooks Lee#,24,MIN,AL,-0.3,104,389,363,32,89,12,1,12,51,2,1,20,71,.245,.288,.383,.671,82,.292,78,139,9,3,0,3,0,564H/D,,leebr02
157,Colt Keith*,23,DET,AL,1.7,113,388,340,56,91,20,2,11,39,1,1,43,79,.268,.348,.435,.783,116,.340,116,148,6,1,0,4,0,D45H3,,keithco01
158,Will Smith,30,LAD,NL,4.2,97,387,321,58,97,19,1,15,54,2,3,58,75,.302,.408,.508,.916,155,.393,154,163,7,3,0,5,1,*2H,AS,smithwi05
159,Jake Cronenworth*,31,SDP,NL,1.8,100,386,318,44,77,16,1,9,43,2,3,48,79,.242,.359,.384,.742,107,.338,113,122,3,12,3,4,0,*43/HD,,croneja01
160,Ryan Jeffers,28,MIN,AL,0.9,100,386,340,43,89,22,0,8,41,0,0,39,78,.262,.350,.397,.747,105,.331,107,135,8,7,0,0,1,2D/H,,jeffery01
161,Jackson Merrill*,22,SDP,NL,1.8,91,386,349,42,91,18,4,9,51,1,2,28,82,.261,.317,.413,.729,101,.317,98,144,3,3,1,5,1,*8,,merrija01
162,Jazz Chisholm Jr.*,27,NYY,AL,3.4,92,385,331,55,78,12,1,21,56,21,4,45,107,.236,.333,.468,.802,120,.356,123,155,3,5,1,3,0,45/H,AS,chishja01
163,Michael Conforto*,32,LAD,NL,-0.6,109,384,331,42,63,18,0,9,27,1,0,43,93,.190,.299,.326,.626,76,.286,76,108,11,9,0,1,0,*7H,,confomi01
164,Max Kepler*,32,PHI,NL,-0.7,104,384,337,46,71,16,0,12,39,2,0,40,73,.211,.298,.365,.663,80,.293,74,123,9,3,1,3,3,*79H/8,,keplema01
165,Addison Barger*,25,TOR,AL,1.7,102,383,355,53,93,26,1,18,59,3,1,24,97,.262,.312,.493,.804,118,.337,112,175,4,2,0,1,4,59/HD,,bargead01
166,Nick Allen,26,ATL,NL,0.9,116,380,337,31,77,10,0,0,21,8,6,30,89,.228,.295,.258,.553,58,.253,55,87,7,3,7,3,0,*6/H,,allenni02
167,Ángel Martínez#,23,CLE,AL,-1.1,104,380,354,45,81,20,1,10,40,6,2,15,84,.229,.265,.376,.641,75,.279,69,133,8,4,3,4,0,84/H97,,martian02
168,Willi Castro#,28,2TM,2LG,0.0,97,379,337,51,79,15,3,10,27,9,3,32,91,.234,.317,.386,.703,93,.310,91,130,9,9,1,0,1,4795/68H1,,castrwi01
168,Willi Castro#,28,MIN,AL,0.4,86,344,302,48,74,15,2,10,27,9,3,32,84,.245,.335,.407,.743,103,.326,102,123,9,9,1,0,1,4795/618H,,castrwi01
168,Willi Castro#,28,CHC,NL,-0.4,11,35,35,3,5,0,1,0,0,0,0,0,7,.143,.143,.200,.343,-1,.148,-11,7,0,0,0,0,0,/5489H7,,castrwi01
169,Andrew Benintendi*,30,CHW,AL,0.5,92,377,338,46,78,14,2,14,47,1,0,31,61,.231,.295,.408,.703,95,.310,96,138,5,2,0,5,2,7D/H,,beninan01
170,Logan O'Hoppe,25,LAA,AL,0.4,97,374,352,33,80,7,1,18,42,2,1,18,118,.227,.268,.406,.674,84,.294,83,143,7,2,1,1,0,2/HD,,ohopplo01
171,Josh Jung,27,TEX,AL,0.7,95,372,348,34,84,12,1,11,45,4,1,22,95,.241,.290,.376,.667,94,.292,93,131,7,2,0,0,0,*5/DH,,jungjo01
172,Alek Thomas*,25,ARI,NL,0.4,109,367,338,40,84,15,2,8,33,6,3,17,95,.249,.292,.376,.668,83,.297,81,127,2,5,4,3,0,*8/HD,,thomaal01
173,Javier Báez,32,DET,AL,1.9,104,366,350,49,93,17,2,11,49,5,1,9,89,.266,.292,.420,.712,95,.312,94,147,7,5,0,2,0,685/4H,AS,baezja01
174,Caleb Durbin,25,MIL,NL,2.1,100,365,318,46,81,18,0,7,42,11,6,23,33,.255,.334,.377,.712,100,.323,104,120,5,17,3,4,0,*5/4H6,,durbica01
175,Chase Meidroth,23,CHW,AL,1.2,88,365,323,38,82,13,0,3,16,11,3,36,51,.254,.335,.322,.657,87,.307,93,104,10,4,1,1,0,64/H,,meidrch01
176,Gabriel Arias,25,CLE,AL,0.8,98,357,325,34,74,20,1,9,45,5,4,21,113,.228,.284,.378,.662,81,.284,76,123,7,6,1,4,0,64/5H,,ariasga01
177,Ramón Laureano,30,2TM,2LG,3.1,98,356,319,56,94,20,2,19,58,5,3,27,85,.295,.360,.549,.908,151,.383,151,175,8,7,0,3,1,*97/DH8,,laurera01
177,Ramón Laureano,30,BAL,AL,2.8,82,290,259,45,75,17,0,15,46,4,3,22,72,.290,.355,.529,.884,145,.374,146,137,6,6,0,3,1,97/DH8,,laurera01
177,Ramón Laureano,30,SDP,NL,0.2,16,66,60,11,19,3,2,4,12,1,0,5,13,.317,.379,.633,1.012,175,.427,171,38,2,1,0,0,0,7/8DH,,laurera01
178,Dillon Dingler,26,DET,AL,2.8,96,354,329,39,90,15,1,11,49,0,0,15,79,.274,.320,.426,.746,105,.329,108,140,4,8,0,1,1,*2/HD,,dingldi01
179,Austin Wells*,25,NYY,AL,-0.3,97,353,316,38,65,16,1,15,56,5,1,23,85,.206,.263,.405,.669,83,.291,79,128,9,5,0,9,0,*2/HD,,wellsau01
180,Kerry Carpenter*,27,DET,AL,1.9,98,352,329,54,88,16,4,22,50,1,1,12,78,.267,.304,.541,.845,128,.356,128,178,2,6,0,2,0,9D7H,,carpeke01
181,Nick Kurtz*,22,ATH,AL,4.1,84,352,304,61,93,21,2,25,66,2,1,43,106,.306,.390,.635,1.025,178,.426,179,193,4,1,0,3,1,3/D,,kurtzni01
182,Harrison Bader,31,2TM,2LG,2.7,109,351,308,35,77,14,0,13,42,10,5,31,88,.250,.333,.422,.755,106,.330,105,130,3,9,0,3,0,*78H/9,,baderha01
182,Harrison Bader,31,MIN,AL,2.7,96,307,271,31,70,13,0,12,38,10,4,27,81,.258,.339,.439,.778,111,.340,112,119,3,7,0,2,0,*78H/9,,baderha01
182,Harrison Bader,31,PHI,NL,0.0,13,44,37,4,7,1,0,1,4,0,1,4,7,.189,.295,.297,.593,63,.260,61,11,0,2,0,1,0,8/H,,baderha01
183,Carlos Narváez,26,BOS,AL,2.7,91,349,314,43,77,21,0,10,36,1,1,32,83,.245,.313,.408,.721,99,.311,96,128,9,0,1,2,0,*2/HD,,narvaca01
184,Mickey Moniak*,27,COL,NL,-0.5,104,348,325,45,84,14,6,18,49,5,2,18,85,.258,.299,.505,.803,111,.341,105,164,1,2,0,3,1,*98DH7,,moniami01
185,Adley Rutschman#,27,BAL,AL,1.8,85,348,308,37,70,16,1,9,29,0,0,37,55,.227,.310,.373,.684,92,.301,91,115,7,1,0,2,0,2D/H,,rutscad01
186,Adam Frazier*,33,2TM,2LG,1.2,102,348,314,33,85,15,0,5,34,8,6,21,56,.271,.326,.366,.692,94,.307,94,115,8,7,1,5,2,47H/9D5,,fraziad01
186,Adam Frazier*,33,PIT,NL,0.4,78,262,235,22,60,10,0,3,21,7,5,17,45,.255,.318,.336,.654,84,.293,83,79,8,6,1,3,2,47H/9,,fraziad01
