Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
387,Brandon Lockridge,28,SDP,95,346,3.64,239,69.1%,23.0%,22.6%,26.8%,27.6%,77.0%,0.0%,53.2%,70.7%,38.9%,2.1%,2,0,4.2%,4,1,4.2%,4,2,5,19,20.8%,0,0,0,lockrbr01
388,Brandon Lockridge,28,MIL,38,163,4.29,115,70.6%,24.3%,13.9%,40.0%,21.7%,75.7%,0.0%,53.4%,81.6%,28.9%,5.3%,2,0,15.8%,6,0,5.3%,2,1,3,7,30.0%,0,0,0,lockrbr01
389,Nick Loftin,26,KCR,151,531,3.52,339,63.8%,23.6%,14.5%,27.7%,34.2%,76.4%,0.0%,48.8%,81.1%,33.8%,4.6%,7,0,13.2%,20,11,6.0%,9,7,4,18,18.2%,0,0,0,loftini01
390,Joey Loperfido*,26,TOR,89,323,3.63,213,65.9%,18.8%,23.5%,30.0%,27.7%,81.2%,0.0%,53.6%,71.1%,40.4%,3.4%,3,0,10.1%,9,6,3.4%,3,3,6,17,26.1%,0,0,0,loperjo01
391,Nicky Lopez*,30,TOT,28,106,3.79,65,61.3%,29.2%,6.2%,33.8%,30.8%,70.8%,0.0%,43.4%,91.3%,35.7%,7.1%,2,0,21.4%,6,2,10.7%,3,2,2,2,50.0%,0,0,0,lopezni01
392,Nicky Lopez*,30,LAA,6,18,3.00,13,72.2%,23.1%,15.4%,23.1%,38.5%,76.9%,0.0%,55.6%,80.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0,lopezni01
393,Nicky Lopez*,30,CHC,22,88,4.00,52,59.1%,30.8%,3.8%,36.5%,28.8%,69.2%,0.0%,40.9%,94.4%,31.8%,9.1%,2,0,27.3%,6,2,13.6%,3,2,2,1,66.7%,0,0,0,lopezni01
394,Otto Lopez,26,MIA,452,1639,3.63,1072,65.1%,30.1%,13.1%,24.4%,32.4%,69.9%,0.0%,45.7%,81.3%,23.2%,4.0%,18,1,12.2%,55,16,7.1%,32,13,11,53,17.2%,0,0,0,lopezot01
395,Brandon Lowe*,30,TBR,420,1587,3.78,1042,65.6%,15.8%,27.0%,29.9%,27.3%,84.2%,0.0%,55.3%,68.0%,44.0%,3.3%,14,1,11.2%,47,22,7.4%,31,19,14,92,13.2%,0,0,0,lowebr01
396,Josh Lowe*,27,TBR,310,1304,4.21,866,66.2%,18.8%,20.4%,36.1%,24.6%,81.2%,0.0%,53.9%,74.8%,36.1%,4.5%,14,2,13.2%,41,21,7.1%,22,14,9,60,13.0%,0,0,0,lowejo01
397,Nathaniel Lowe*,29,TOT,494,2112,4.28,1337,63.3%,29.4%,17.1%,30.1%,23.3%,70.5%,0.0%,44.6%,75.7%,23.5%,5.1%,25,0,13.0%,64,21,8.1%,40,24,32,98,24.6%,0,0,0,lowena01
398,Nathaniel Lowe*,29,BOS,1,7,7.00,3,42.9%,33.3%,0.0%,66.7%,0.0%,66.7%,0.0%,28.6%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0,lowena01
399,Nathaniel Lowe*,29,WSN,493,2105,4.27,1334,63.3%,29.4%,17.1%,30.1%,23.4%,70.5%,0.0%,44.7%,75.7%,23.5%,5.1%,25,0,13.0%,64,21,8.1%,40,24,32,98,24.6%,0,0,0,lowena01
400,Matthew Lugo,24,LAA,43,143,3.33,100,69.9%,29.0%,29.0%,16.0%,26.0%,71.0%,0.0%,49.7%,59.2%,41.9%,0.0%,0,0,4.7%,2,2,2.3%,1,1,3,13,18.8%,0,0,0,lugoma01
401,Nathan Lukes*,30,TOR,322,1184,3.68,767,64.2%,24.9%,9.9%,32.6%,32.6%,75.1%,0.0%,48.6%,86.8%,28.3%,5.9%,19,0,12.4%,40,12,7.1%,23,10,14,22,38.9%,0,0,0,lukesna01
402,Gavin Lux*,27,CIN,397,1601,4.03,978,61.1%,29.2%,15.8%,28.4%,26.5%,70.8%,0.0%,43.2%,77.6%,35.5%,4.3%,17,0,13.9%,55,26,9.1%,36,23,43,50,46.2%,0,0,0,luxga01
403,Manny Machado,32,SDP,537,2086,3.88,1327,63.3%,21.9%,19.5%,29.1%,29.5%,78.1%,0.0%,49.7%,74.9%,38.5%,6.0%,32,6,14.0%,75,25,7.6%,41,23,22,74,22.9%,0,0,0,machama01
404,Willie MacIver,28,ATH,65,233,3.58,161,68.8%,18.6%,19.9%,32.9%,28.6%,81.4%,0.0%,56.2%,75.6%,58.5%,1.5%,1,0,7.7%,5,3,4.6%,3,0,5,9,35.7%,0,0,0,macivwi01
405,Luke Maile,34,KCR,28,117,4.18,69,59.0%,30.4%,20.3%,26.1%,23.2%,69.6%,0.0%,41.0%,70.8%,17.9%,0.0%,0,0,25.0%,7,4,25.0%,7,5,1,7,12.5%,0,0,0,mailelu01
406,Martín Maldonado,38,SDP,162,569,3.51,388,68.0%,33.2%,25.5%,16.2%,24.7%,66.5%,0.0%,45.3%,61.4%,28.4%,3.1%,5,0,10.5%,17,5,3.7%,6,3,10,47,17.5%,0,0,0,maldoma01
407,Justyn-Henry Malloy,25,DET,118,512,4.34,295,57.5%,30.8%,20.3%,26.1%,22.7%,69.2%,0.0%,39.8%,70.6%,21.2%,3.4%,4,0,12.7%,15,5,11.9%,14,9,11,20,35.5%,0,0,0,malloju02
408,Jake Mangum#,29,TBR,314,1036,3.30,746,72.0%,14.1%,16.9%,35.8%,33.2%,85.9%,0.0%,61.9%,80.3%,54.5%,2.9%,9,0,6.7%,21,8,4.1%,13,10,14,35,28.6%,0,0,0,manguja01
409,Kyle Manzardo*,24,CLE,394,1505,3.82,964,64.0%,26.9%,19.8%,27.7%,25.6%,73.1%,0.0%,46.8%,72.9%,27.2%,3.8%,15,1,13.5%,53,22,8.9%,35,14,22,79,21.8%,0,0,0,manzaky01
410,Rafael Marchán#,26,PHI,91,353,3.88,212,60.1%,27.8%,17.5%,23.1%,31.6%,72.2%,0.0%,43.3%,75.8%,30.8%,5.5%,5,0,16.5%,15,5,8.8%,8,6,3,10,23.1%,0,0,0,marchra01
411,Manuel Margot,30,DET,20,68,3.40,52,76.5%,26.9%,21.2%,25.0%,26.9%,73.1%,0.0%,55.9%,71.1%,35.0%,0.0%,0,0,10.0%,2,1,0.0%,0,0,1,5,16.7%,0,0,0,margoma01
412,Jakob Marsee*,24,MIA,66,267,4.05,151,56.6%,37.7%,7.3%,25.2%,29.8%,62.3%,0.0%,35.2%,88.3%,25.8%,3.0%,2,0,16.7%,11,3,15.2%,10,8,5,7,41.7%,0,0,0,marseja01
413,Brandon Marsh*,27,PHI,315,1218,3.87,776,63.6%,25.5%,16.1%,31.4%,26.8%,74.4%,0.0%,47.4%,78.2%,33.3%,3.8%,12,0,11.4%,36,16,8.9%,28,16,20,57,26.0%,0,0,0,marshbr02
414,Ketel Marte#,31,ARI,408,1530,3.75,918,59.3%,25.7%,16.1%,26.1%,32.0%,74.3%,0.0%,44.6%,78.3%,23.3%,7.1%,29,7,16.4%,67,26,10.5%,43,23,8,48,14.3%,0,0,0,marteke01
415,Noelvi Marte,23,CIN,213,726,3.41,489,67.4%,21.1%,21.3%,24.7%,32.9%,78.9%,0.0%,53.2%,73.1%,38.0%,0.9%,2,0,8.5%,18,14,5.6%,12,7,6,35,14.6%,0,0,0,marteno01
416,Starling Marte,36,NYM,233,875,3.76,583,66.6%,24.0%,18.7%,28.6%,28.6%,76.0%,0.0%,50.6%,75.4%,29.6%,0.9%,2,0,6.4%,15,10,3.9%,9,7,12,29,29.3%,0,0,0,martest01
417,Austin Martin,26,MIN,49,198,4.04,118,59.6%,34.7%,9.3%,22.9%,33.1%,65.3%,0.0%,38.9%,85.7%,16.3%,2.0%,1,0,14.3%,7,3,14.3%,7,4,3,4,42.9%,0,0,0,martiau01
418,Angel Martínez#,23,CLE,381,1388,3.64,970,69.7%,20.9%,16.8%,33.6%,28.6%,79.0%,0.0%,55.2%,78.6%,36.5%,2.4%,9,0,10.8%,41,22,4.7%,18,11,15,69,17.9%,0,0,0,martian02
419,Nick Martini*,35,COL,111,432,3.89,273,62.6%,28.9%,13.6%,26.7%,30.8%,71.1%,0.0%,44.9%,80.9%,17.1%,4.5%,5,0,10.8%,12,2,7.2%,8,7,6,12,33.3%,0,0,0,martini02
