Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
444,Curtis Mead,24,TOT,174,698,4.01,437,62.6%,28.4%,14.9%,32.0%,24.7%,71.6%,0.0%,44.8%,79.2%,25.3%,6.9%,12,0,16.1%,28,9,8.6%,15,7,18,26,40.9%,0,0,0,meadcu01
445,Curtis Mead,24,TBR,134,533,3.98,330,61.9%,29.7%,13.9%,31.2%,25.2%,70.3%,0.0%,43.5%,80.2%,24.6%,7.5%,10,0,15.7%,21,7,8.2%,11,4,13,20,39.4%,0,0,0,meadcu01
446,Curtis Mead,24,CHW,40,165,4.13,107,64.8%,24.3%,17.8%,34.6%,23.4%,75.7%,0.0%,49.1%,76.5%,27.5%,5.0%,2,0,17.5%,7,2,10.0%,4,3,5,6,45.5%,0,0,0,meadcu01
447,Parker Meadows*,25,DET,137,558,4.07,351,62.8%,26.5%,22.8%,26.2%,24.2%,73.2%,0.0%,46.1%,68.6%,29.9%,3.6%,5,0,14.6%,20,11,6.6%,9,6,7,33,17.5%,0,0,0,meadopa01
448,Chase Meidroth,23,CHW,365,1529,4.19,972,63.6%,41.3%,7.6%,22.9%,28.2%,58.7%,0.0%,37.3%,87.0%,11.2%,5.8%,21,0,15.1%,55,3,11.5%,42,13,16,35,31.4%,0,0,0,meidrch01
449,MJ Melendez*,26,KCR,66,255,3.86,166,65.1%,26.5%,30.1%,21.1%,22.3%,73.5%,0.0%,47.8%,59.0%,28.8%,0.0%,0,0,4.5%,3,2,7.6%,5,2,4,19,17.4%,0,0,0,melenmj01
450,Jacob Melton*,24,HOU,55,237,4.31,153,64.6%,30.7%,26.8%,24.2%,18.3%,69.3%,0.0%,44.7%,61.3%,27.3%,3.6%,2,0,7.3%,4,1,9.1%,5,4,6,16,27.3%,0,0,0,meltoja01
451,Jackson Merrill*,22,SDP,387,1325,3.42,893,67.1%,13.8%,22.8%,32.8%,30.6%,86.2%,0.0%,58.1%,73.5%,46.3%,3.1%,12,2,9.0%,35,19,3.9%,15,11,13,69,15.9%,0,0,0,merrija01
452,Matt Mervis*,27,MIA,134,536,4.00,356,66.0%,17.7%,32.9%,29.5%,19.9%,82.3%,0.0%,54.7%,60.1%,41.8%,6.0%,8,3,11.9%,16,7,9.0%,12,8,9,41,18.0%,0,0,0,mervima01
453,Víctor Mesa Jr.*,23,MIA,10,32,3.20,17,53.1%,17.6%,23.5%,17.6%,41.2%,82.4%,0.0%,43.8%,71.4%,60.0%,10.0%,1,0,10.0%,1,0,30.0%,3,1,0,1,0.0%,0,0,0,mesavi01
454,Jake Meyers,29,HOU,323,1149,3.56,723,62.9%,24.9%,15.5%,27.1%,32.5%,75.1%,0.0%,47.3%,79.4%,37.2%,2.5%,8,0,12.7%,41,22,7.1%,23,6,27,31,46.6%,0,0,0,meyerja02
455,Drew Millas#,27,WSN,48,183,3.81,115,62.8%,26.1%,13.0%,27.8%,33.0%,73.9%,0.0%,46.4%,82.4%,29.2%,2.1%,1,0,12.5%,6,3,8.3%,4,0,1,5,16.7%,0,0,0,milladr01
456,Owen Miller,28,COL,18,68,3.78,46,67.6%,30.4%,8.7%,39.1%,21.7%,69.6%,0.0%,47.1%,87.5%,38.9%,5.6%,1,0,16.7%,3,1,11.1%,2,0,1,3,25.0%,0,0,0,milleow01
457,José Miranda,27,MIN,36,127,3.53,92,72.4%,26.1%,19.6%,29.3%,25.0%,73.9%,0.0%,53.5%,73.5%,41.7%,0.0%,0,0,8.3%,3,1,2.8%,1,1,3,10,23.1%,0,0,0,miranjo01
458,Kameron Misner*,27,TBR,218,916,4.20,591,64.4%,26.7%,25.2%,25.9%,22.2%,73.3%,0.0%,47.3%,65.6%,32.6%,2.3%,5,1,9.6%,21,11,7.8%,17,10,14,55,20.3%,0,0,0,misneka01
459,Garrett Mitchell*,26,MIL,78,303,3.88,190,62.7%,28.4%,22.1%,25.8%,23.7%,71.6%,0.0%,44.9%,69.1%,34.6%,5.1%,4,0,7.7%,6,2,7.7%,6,2,8,17,32.0%,0,0,0,mitchga01
460,Andruw Monasterio,28,MIL,71,284,4.00,182,64.1%,26.9%,14.8%,31.3%,26.9%,73.1%,0.0%,46.8%,79.7%,21.1%,4.2%,3,0,16.9%,12,7,11.3%,8,5,4,13,23.5%,0,0,0,monasan01
461,Yoán Moncada#,30,LAA,194,748,3.86,453,60.4%,23.4%,24.1%,25.8%,26.3%,76.2%,0.0%,46.1%,68.0%,35.6%,4.6%,9,0,16.0%,31,13,9.8%,19,10,11,38,22.4%,0,0,0,moncayo01
462,Mickey Moniak*,27,COL,348,1196,3.44,816,68.0%,18.8%,22.3%,29.2%,29.8%,81.3%,0.0%,55.4%,72.5%,37.4%,3.7%,13,0,11.2%,39,23,6.0%,21,9,11,74,12.9%,0,0,0,moniami01
463,Coco Montes,28,TBR,10,27,2.70,21,77.8%,47.6%,14.3%,4.8%,33.3%,52.4%,0.0%,40.7%,72.7%,30.0%,0.0%,0,0,10.0%,1,0,10.0%,1,0,2,1,66.7%,0,0,0,monteco01
464,Colson Montgomery*,23,CHW,145,555,3.83,368,65.6%,18.5%,27.4%,29.3%,24.7%,81.5%,0.0%,54.1%,66.3%,42.1%,2.1%,3,2,6.2%,9,6,6.2%,9,6,10,32,23.8%,0,0,0,montgco01
465,Christian Moore,22,LAA,107,438,4.09,264,60.3%,24.2%,25.8%,26.9%,23.1%,75.8%,0.0%,45.7%,66.0%,26.2%,7.5%,8,0,27.1%,29,16,11.2%,12,6,4,27,12.9%,0,0,0,moorech03
466,Dylan Moore,32,SEA,208,870,4.18,564,64.7%,23.9%,25.9%,29.4%,20.6%,75.9%,0.0%,49.2%,65.7%,30.8%,6.3%,13,0,14.4%,30,10,7.2%,15,8,16,58,21.6%,0,0,0,mooredy01
467,Christopher Morel,26,TBR,243,910,3.74,597,65.5%,16.6%,32.7%,28.3%,22.4%,83.4%,0.0%,54.7%,60.8%,56.0%,1.2%,3,0,7.8%,19,12,6.2%,15,11,29,59,33.0%,0,0,0,morelch01
468,Gabriel Moreno,25,ARI,189,785,4.15,517,65.8%,30.2%,13.0%,29.4%,27.5%,69.8%,0.0%,46.0%,81.4%,18.5%,3.7%,7,0,15.3%,29,8,9.5%,18,11,4,28,12.5%,0,0,0,morenga01
469,Ryan Mountcastle,28,BAL,238,887,3.73,627,70.6%,18.0%,24.2%,30.6%,27.1%,82.0%,0.0%,57.9%,70.4%,38.2%,2.9%,7,1,8.8%,21,9,7.6%,18,13,7,48,12.7%,0,0,0,mountry01
470,Cedric Mullins*,30,TOT,410,1730,4.22,1091,63.1%,22.2%,18.0%,35.4%,24.5%,77.8%,0.0%,49.1%,76.9%,33.4%,3.9%,16,1,12.7%,52,17,9.3%,38,18,28,73,27.7%,0,0,0,mullice01
471,Cedric Mullins*,30,BAL,355,1504,4.24,953,63.4%,21.2%,18.3%,36.0%,24.6%,78.8%,0.0%,49.9%,76.8%,33.5%,4.2%,15,1,13.2%,47,15,9.0%,32,14,21,64,24.7%,0,0,0,mullice01
472,Cedric Mullins*,30,NYM,55,226,4.11,138,61.1%,29.0%,15.9%,31.2%,23.9%,71.0%,0.0%,43.4%,77.6%,32.7%,1.8%,1,0,9.1%,5,2,10.9%,6,4,7,9,43.8%,0,0,0,mullice01
473,Max Muncy*,34,LAD,347,1483,4.27,867,58.2%,26.9%,17.2%,31.6%,24.3%,73.1%,0.0%,42.8%,76.5%,28.8%,6.6%,23,6,18.7%,65,24,14.1%,49,19,7,66,9.6%,0,0,0,muncyma01
474,Max Muncy,22,ATH,213,798,3.75,533,66.8%,24.4%,24.4%,25.7%,25.5%,75.6%,0.0%,50.5%,67.7%,39.0%,2.3%,5,0,10.8%,23,12,6.6%,14,8,13,52,20.0%,0,0,0,muncyma02
475,Sean Murphy,30,ATL,311,1250,4.02,809,64.5%,26.1%,23.9%,28.8%,21.3%,73.9%,0.0%,47.8%,67.7%,36.0%,2.3%,7,0,9.6%,30,10,6.8%,21,8,24,73,24.7%,0,0,0,murphse01
476,Dane Myers,29,MIA,304,1128,3.71,755,66.8%,32.6%,16.6%,23.2%,27.5%,67.3%,0.0%,45.0%,75.2%,25.3%,3.3%,10,0,12.8%,39,15,7.6%,23,10,17,53,24.3%,0,0,0,myersda01
477,Carlos Narváez,26,BOS,350,1409,4.03,920,65.2%,23.2%,21.0%,30.3%,25.4%,76.7%,0.0%,50.1%,72.6%,28.0%,4.0%,14,1,11.7%,41,20,6.9%,24,14,13,70,15.7%,0,0,0,narvaca01
478,Omar Narváez*,33,CHW,10,43,4.30,24,55.8%,20.8%,12.5%,37.5%,29.2%,79.2%,0.0%,44.2%,84.2%,40.0%,10.0%,1,0,10.0%,1,0,20.0%,2,1,1,0,100.0%,0,0,0,narvaom01
479,Bo Naylor*,25,CLE,319,1318,4.13,832,63.1%,25.8%,16.3%,33.4%,24.4%,74.2%,0.0%,46.8%,78.0%,31.3%,3.8%,12,4,13.5%,43,21,6.9%,22,11,16,61,20.8%,0,0,0,naylobo01
480,Josh Naylor*,28,TOT,480,1582,3.30,1055,65.8%,18.6%,18.3%,28.3%,34.8%,81.4%,0.0%,54.3%,77.5%,44.4%,4.4%,21,0,13.8%,66,29,7.5%,36,19,9,58,13.4%,0,0,0,naylojo01
481,Josh Naylor*,28,ARI,395,1272,3.22,843,65.3%,19.7%,17.0%,27.0%,36.3%,80.3%,0.0%,53.2%,78.9%,43.5%,4.6%,18,0,13.7%,54,25,7.8%,31,17,8,41,16.3%,0,0,0,naylojo01
482,Josh Naylor*,28,SEA,85,310,3.65,212,67.9%,14.2%,23.6%,33.5%,28.8%,85.8%,0.0%,58.7%,72.5%,48.2%,3.5%,3,0,14.1%,12,4,5.9%,5,2,1,17,5.6%,0,0,0,naylojo01
483,Ryne Nelson,27,ARI,1,4,4.00,2,50.0%,50.0%,0.0%,0.0%,50.0%,50.0%,0.0%,25.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0,nelsory01
484,Zach Neto,24,LAA,466,1818,3.90,1158,63.1%,23.7%,21.2%,28.4%,26.6%,76.2%,0.0%,48.5%,72.1%,37.8%,4.3%,20,7,11.2%,52,22,9.9%,46,25,15,104,12.6%,0,0,0,netoza01
485,Kevin Newman,31,LAA,117,416,3.56,290,69.7%,24.8%,12.8%,30.7%,31.7%,75.2%,0.0%,52.4%,83.0%,32.5%,0.9%,1,0,9.4%,11,8,3.4%,4,2,6,17,26.1%,0,0,0,newmake01
486,Tomás Nido,31,DET,37,119,3.22,83,69.2%,15.7%,21.7%,31.3%,31.3%,84.3%,0.0%,58.8%,74.3%,54.1%,0.0%,0,0,5.4%,2,0,5.4%,2,1,2,8,20.0%,0,0,0,nidoto01
487,Brandon Nimmo*,32,NYM,505,2003,3.97,1287,64.1%,27.4%,16.6%,29.2%,26.9%,72.6%,0.0%,46.7%,77.2%,30.9%,2.8%,14,1,13.9%,70,30,7.5%,38,15,29,81,26.4%,0,0,0,nimmobr01
488,Ryan Noda*,29,TOT,60,254,4.23,146,56.4%,30.1%,30.8%,23.3%,15.8%,69.9%,0.0%,40.2%,55.9%,26.7%,8.3%,5,0,20.0%,12,6,11.7%,7,3,11,14,44.0%,0,0,0,nodary01
489,Ryan Noda*,29,CHW,46,197,4.28,109,54.5%,28.4%,33.0%,23.9%,14.7%,71.6%,0.0%,39.6%,53.8%,30.4%,6.5%,3,0,19.6%,9,5,13.0%,6,2,9,10,47.4%,0,0,0,nodary01
490,Ryan Noda*,29,BAL,14,57,4.07,37,62.7%,35.1%,24.3%,21.6%,18.9%,64.9%,0.0%,42.1%,62.5%,14.3%,14.3%,2,0,21.4%,3,1,7.1%,1,1,2,4,33.3%,0,0,0,nodary01
491,Jhonkensy Noel,23,CLE,111,415,3.74,287,69.0%,13.6%,29.6%,31.0%,25.4%,86.1%,0.0%,59.5%,65.3%,40.5%,2.7%,3,0,9.0%,10,5,6.3%,7,7,3,32,8.6%,0,0,0,noeljh01
492,Austin Nola,35,COL,41,148,3.61,96,64.9%,24.0%,12.5%,28.1%,35.4%,76.0%,0.0%,49.3%,83.6%,31.7%,0.0%,0,0,9.8%,4,2,9.8%,4,1,2,3,40.0%,0,0,0,nolaau01
493,Lars Nootbaar*,27,STL,434,1777,4.09,1068,59.8%,34.6%,13.9%,24.9%,26.7%,65.4%,0.0%,39.3%,78.8%,21.4%,5.8%,25,0,16.8%,73,18,10.1%,44,21,31,65,32.3%,0,0,0,nootbla01
494,Connor Norby,25,MIA,273,1000,3.66,670,67.0%,17.6%,24.6%,30.6%,27.2%,82.4%,0.0%,55.2%,70.1%,48.0%,1.1%,3,0,9.2%,25,18,7.0%,19,11,13,60,17.8%,0,0,0,norbyco01
495,Dom Nuñez*,30,CLE,7,28,4.00,19,67.9%,47.4%,31.6%,5.3%,15.8%,52.6%,0.0%,35.7%,40.0%,14.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,2,50.0%,0,0,0,nunezdo01
496,Nasim Nuñez#,24,WSN,50,228,4.56,147,64.2%,23.1%,16.3%,37.4%,23.1%,76.9%,0.0%,49.6%,78.8%,34.0%,2.0%,1,0,12.0%,6,3,8.0%,4,2,0,10,0.0%,0,0,0,nunezna01
497,Ryan O'Hearn*,31,TOT,407,1598,3.93,986,61.1%,25.3%,16.7%,29.9%,28.1%,74.7%,0.0%,46.1%,77.6%,30.0%,5.4%,22,0,14.5%,59,25,9.6%,39,23,19,54,26.0%,0,0,0,ohearry01
498,Ryan O'Hearn*,31,BAL,364,1404,3.86,868,61.3%,25.5%,16.8%,28.8%,28.9%,74.5%,0.0%,46.1%,77.4%,28.6%,5.2%,19,0,15.1%,55,24,9.9%,36,21,15,48,23.8%,0,0,0,ohearry01
499,Ryan O'Hearn*,31,SDP,43,194,4.51,118,59.6%,23.7%,16.1%,38.1%,22.0%,76.3%,0.0%,46.4%,78.9%,41.9%,7.0%,3,0,9.3%,4,1,7.0%,3,2,4,6,40.0%,0,0,0,ohearry01
500,Logan O'Hoppe,25,LAA,376,1457,3.88,963,66.1%,19.9%,27.3%,28.2%,24.5%,80.1%,0.0%,52.9%,65.9%,39.6%,3.2%,12,2,10.1%,38,18,5.9%,22,16,26,92,22.0%,0,0,0,ohopplo01
501,Tyler O'Neill,30,BAL,165,631,3.82,412,64.7%,24.5%,24.0%,25.7%,25.7%,75.5%,0.0%,49.3%,68.2%,39.4%,4.2%,7,2,8.5%,14,4,7.9%,13,10,7,33,17.5%,0,0,0,oneilty01
502,Shohei Ohtani*,30,LAD,567,2254,3.98,1340,57.9%,24.6%,25.5%,25.1%,24.6%,75.3%,0.0%,44.8%,66.0%,31.9%,7.2%,41,3,16.6%,94,33,10.6%,60,20,33,118,21.9%,0,0,0,ohtansh01
503,Matt Olson*,31,ATL,560,2461,4.39,1472,59.7%,25.0%,19.4%,31.9%,23.6%,75.0%,0.0%,44.9%,74.1%,27.7%,5.7%,32,7,17.0%,95,36,9.6%,54,35,31,104,23.0%,0,0,0,olsonma02
504,Jonathan Ornelas,25,TOT,10,41,4.10,26,63.4%,23.1%,19.2%,34.6%,23.1%,76.9%,0.0%,48.8%,75.0%,20.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,3,0.0%,0,0,0,orneljo01
505,Jonathan Ornelas,25,TEX,6,21,3.50,14,66.7%,14.3%,35.7%,35.7%,14.3%,85.7%,0.0%,57.1%,58.3%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,3,0.0%,0,0,0,orneljo01
506,Jonathan Ornelas,25,ATL,4,20,5.00,12,60.0%,33.3%,0.0%,33.3%,33.3%,66.7%,0.0%,40.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0,orneljo01
507,Tirso Ornelas*,25,SDP,16,62,3.88,41,66.1%,31.7%,9.8%,29.3%,29.3%,68.3%,0.0%,45.2%,85.7%,12.5%,0.0%,0,0,6.3%,1,1,6.3%,1,0,1,1,50.0%,0,0,0,ornelti01
508,Joey Ortiz,26,MIL,425,1580,3.72,1090,68.9%,32.1%,10.6%,26.6%,30.6%,67.8%,0.0%,46.8%,84.2%,28.7%,3.3%,14,0,11.1%,47,13,5.4%,23,8,21,41,33.9%,0,0,0,ortizjo06
509,Alejandro Osuna*,22,TEX,95,396,4.17,243,60.6%,31.3%,12.3%,32.5%,23.9%,68.7%,0.0%,42.2%,82.0%,14.7%,5.3%,5,0,13.7%,13,1,6.3%,6,3,7,13,35.0%,0,0,0,osunaal02
510,James Outman*,28,TOT,52,197,3.79,126,64.0%,28.6%,33.3%,17.5%,20.6%,71.4%,0.0%,45.7%,53.3%,50.0%,3.8%,2,0,7.7%,4,2,13.5%,7,4,7,14,33.3%,0,0,0,outmaja01
511,James Outman*,28,LAD,44,171,3.89,109,63.7%,28.4%,33.9%,18.3%,19.3%,71.6%,0.0%,45.6%,52.6%,50.0%,2.3%,1,0,6.8%,3,2,11.4%,5,3,7,11,38.9%,0,0,0,outmaja01
512,James Outman*,28,MIN,8,26,3.25,17,65.4%,29.4%,29.4%,11.8%,29.4%,70.6%,0.0%,46.2%,58.3%,50.0%,12.5%,1,0,12.5%,1,0,25.0%,2,1,0,3,0.0%,0,0,0,outmaja01
513,Marcell Ozuna,34,ATL,479,2116,4.42,1238,58.3%,34.6%,16.2%,25.8%,23.3%,65.4%,0.0%,38.3%,75.2%,18.6%,5.4%,26,4,15.7%,75,36,12.1%,58,25,45,62,42.1%,0,0,0,ozunama01
514,Andy Pages,24,LAD,490,1827,3.73,1244,68.1%,20.2%,17.4%,34.0%,28.4%,79.7%,0.0%,54.3%,78.1%,42.4%,2.4%,12,0,7.6%,37,20,4.9%,24,14,33,69,32.4%,0,0,0,pagesan01
515,Pedro Pagés,26,STL,311,1202,3.86,803,66.6%,24.4%,20.0%,29.5%,26.0%,75.6%,0.0%,50.5%,73.5%,32.8%,2.9%,9,0,12.2%,38,18,8.0%,25,18,11,71,13.4%,0,0,0,pagespe02
516,Joshua Palacios*,29,CHW,145,558,3.85,365,65.4%,21.1%,21.9%,31.5%,25.5%,78.9%,0.0%,51.6%,72.2%,43.4%,5.5%,8,1,12.4%,18,6,6.9%,10,6,6,30,16.7%,0,0,0,palacjo01
517,Richie Palacios*,28,TBR,4,16,4.00,10,62.5%,20.0%,10.0%,30.0%,40.0%,80.0%,0.0%,50.0%,87.5%,25.0%,0.0%,0,0,0.0%,0,0,25.0%,1,1,0,0,,0,0,0,palacri01
518,Isaac Paredes,26,HOU,410,1804,4.40,1087,60.2%,32.7%,10.4%,30.6%,26.3%,67.3%,0.0%,40.6%,84.6%,17.8%,5.6%,23,1,18.5%,76,29,11.5%,47,31,22,45,32.8%,0,0,0,paredis01
519,Kyren Paris,23,LAA,140,547,3.91,353,64.4%,23.8%,34.8%,22.1%,19.3%,76.2%,0.0%,49.2%,54.3%,43.6%,3.6%,5,0,8.6%,12,3,7.1%,10,2,13,46,22.0%,0,0,0,parisky01
520,Vinnie Pasquantino*,27,KCR,523,1958,3.74,1272,64.5%,26.2%,13.3%,29.6%,31.0%,73.8%,0.0%,48.0%,82.0%,29.8%,5.9%,31,0,15.9%,83,34,7.5%,39,23,20,64,23.8%,0,0,0,pasquvi01
521,Graham Pauley*,24,MIA,160,602,3.76,375,62.3%,24.5%,20.0%,26.1%,29.3%,75.5%,0.0%,47.0%,73.5%,31.3%,3.8%,6,0,18.8%,30,15,10.6%,17,11,8,24,25.0%,0,0,0,paulegr01
522,Joc Pederson*,33,TEX,200,810,4.05,481,59.4%,26.8%,18.1%,28.3%,26.8%,73.2%,0.0%,43.5%,75.3%,21.0%,6.0%,12,1,19.5%,39,20,13.5%,27,9,8,32,19.5%,0,0,0,pederjo01
523,Liover Peguero,24,PIT,58,219,3.78,134,60.9%,29.1%,23.9%,19.4%,27.6%,70.9%,0.0%,43.4%,66.3%,29.3%,1.7%,1,0,10.3%,6,2,5.2%,3,3,6,10,37.5%,0,0,0,pegueli01
524,Jeremy Peña,27,HOU,410,1370,3.34,913,66.2%,23.9%,19.8%,22.9%,33.4%,76.1%,0.0%,50.7%,74.0%,38.3%,3.4%,14,1,10.7%,44,8,3.4%,14,5,14,55,20.3%,0,0,0,penaje02
525,Oswald Peraza,25,TOT,181,653,3.61,452,69.2%,21.5%,25.0%,27.0%,26.5%,78.5%,0.0%,54.4%,68.2%,42.0%,2.2%,4,0,5.5%,10,6,6.1%,11,6,7,42,14.3%,0,0,0,perazos02
526,Oswald Peraza,25,NYY,170,612,3.60,424,69.3%,21.2%,25.5%,27.1%,26.2%,78.8%,0.0%,54.6%,67.7%,42.9%,2.4%,4,0,5.9%,10,6,6.5%,11,6,6,41,12.8%,0,0,0,perazos02
527,Oswald Peraza,25,LAA,11,41,3.73,28,68.3%,25.0%,17.9%,25.0%,32.1%,75.0%,0.0%,51.2%,76.2%,27.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,1,50.0%,0,0,0,perazos02
528,Geraldo Perdomo#,25,ARI,559,2310,4.13,1405,60.8%,35.9%,7.7%,27.0%,29.5%,64.1%,0.0%,39.0%,88.0%,15.7%,7.3%,41,0,16.6%,93,21,11.8%,66,33,23,37,38.3%,0,0,0,perdoge01
529,Jhonny Pereda,29,ATH,46,204,4.43,116,56.9%,30.2%,20.7%,25.9%,23.3%,69.8%,0.0%,39.7%,70.4%,28.3%,2.2%,1,0,10.9%,5,0,13.0%,6,1,6,7,46.2%,0,0,0,peredjh01
530,Everson Pereira,24,TBR,17,81,4.76,46,56.8%,34.8%,32.6%,15.2%,17.4%,65.2%,0.0%,37.0%,50.0%,17.6%,5.9%,1,0,23.5%,4,1,29.4%,5,4,2,6,25.0%,0,0,0,pereiev01
531,Salvador Perez,35,KCR,495,1719,3.47,1192,68.7%,15.9%,22.9%,30.5%,30.7%,84.1%,0.0%,58.3%,72.8%,41.4%,2.8%,14,4,8.9%,44,22,2.6%,13,9,11,89,11.0%,0,0,0,perezsa02
532,Wenceel Pérez#,25,DET,243,969,3.99,642,66.3%,25.7%,18.7%,28.7%,26.9%,74.3%,0.0%,49.2%,74.8%,25.1%,2.9%,7,0,9.9%,24,9,6.6%,16,7,10,38,20.8%,0,0,0,perezwe01
533,Blake Perkins#,28,MIL,88,351,3.99,217,61.8%,35.0%,20.7%,19.4%,24.9%,65.0%,0.0%,40.2%,68.1%,17.0%,6.8%,6,0,17.0%,15,3,10.2%,9,3,6,19,24.0%,0,0,0,perkibl01
534,Tristan Peters*,25,TBR,12,46,3.83,35,76.1%,31.4%,31.4%,22.9%,14.3%,68.6%,0.0%,52.2%,54.2%,66.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,5,28.6%,0,0,0,petertr01
535,Tommy Pham,37,PIT,337,1295,3.84,813,62.5%,33.0%,16.2%,23.0%,27.8%,67.0%,0.0%,42.1%,75.8%,20.2%,5.3%,18,2,13.6%,46,18,7.7%,26,10,22,53,29.3%,0,0,0,phamth01
536,Kevin Pillar,36,TEX,43,154,3.58,112,72.7%,20.5%,15.2%,33.0%,31.3%,79.5%,0.0%,57.8%,80.9%,34.9%,0.0%,0,0,4.7%,2,1,2.3%,1,1,2,6,25.0%,0,0,0,pillake01
537,Jorge Polanco#,31,SEA,395,1505,3.81,939,62.1%,27.4%,17.8%,22.9%,31.9%,72.6%,0.0%,45.3%,75.5%,24.6%,3.3%,13,1,15.7%,62,30,8.9%,35,16,11,49,18.3%,0,0,0,polanjo01
538,Logan Porter,29,SFG,9,34,3.78,18,52.9%,27.8%,16.7%,27.8%,27.8%,72.2%,0.0%,38.2%,76.9%,11.1%,11.1%,1,0,22.2%,2,1,0.0%,0,0,1,1,50.0%,0,0,0,portelo01
539,Yohel Pozo,28,STL,146,516,3.53,360,69.8%,14.4%,16.4%,35.6%,33.6%,85.6%,0.0%,59.7%,80.8%,39.0%,4.1%,6,0,8.9%,13,4,4.8%,7,5,1,16,5.9%,0,0,0,pozoyo01
540,Jurickson Profar#,32,ATL,211,907,4.30,559,61.5%,25.4%,12.5%,36.0%,26.1%,74.6%,0.0%,46.0%,83.2%,31.8%,7.1%,15,0,16.6%,35,11,13.7%,29,15,10,24,29.4%,0,0,0,profaju01
541,Edgar Quero#,22,CHW,285,1108,3.89,698,63.0%,25.8%,13.6%,30.9%,29.7%,74.2%,0.0%,46.8%,81.7%,28.1%,6.0%,17,1,12.6%,36,13,9.8%,28,20,10,40,20.0%,0,0,0,queroed01
542,Ceddanne Rafaela,24,BOS,453,1636,3.61,1154,70.5%,15.2%,22.4%,33.2%,29.3%,84.8%,0.0%,59.8%,73.6%,50.8%,3.3%,15,4,8.6%,39,11,4.6%,21,13,7,80,8.0%,0,0,0,rafaece01
543,Cal Raleigh#,28,SEA,545,2218,4.07,1386,61.2%,17.2%,25.8%,34.0%,23.1%,82.8%,0.0%,51.8%,68.9%,42.8%,6.1%,33,1,16.5%,90,36,10.1%,55,24,25,120,17.2%,0,0,0,raleica01
544,Luke Raley*,30,SEA,171,653,3.82,409,62.6%,14.7%,33.0%,28.6%,23.7%,85.3%,0.0%,53.4%,61.3%,46.8%,4.1%,7,0,9.4%,16,8,7.0%,12,6,3,44,6.4%,0,0,0,raleylu01
545,Agustín Ramírez,23,MIA,433,1540,3.56,1002,64.9%,21.5%,20.1%,26.5%,31.9%,78.5%,0.0%,51.1%,74.5%,38.6%,2.8%,12,4,11.3%,49,26,6.5%,28,15,25,57,30.5%,0,0,0,ramirag01
546,José Ramírez#,32,CLE,518,2005,3.87,1255,60.5%,24.5%,11.7%,31.2%,32.6%,75.5%,0.0%,47.2%,84.5%,17.4%,9.8%,51,7,18.5%,96,37,10.2%,53,35,4,50,7.4%,0,0,0,ramirjo01
547,Heliot Ramos,25,SFG,543,2073,3.82,1346,64.6%,26.5%,18.1%,28.7%,26.7%,73.5%,0.0%,47.7%,75.3%,26.9%,2.8%,15,2,10.9%,59,15,6.4%,35,20,26,101,20.5%,0,0,0,ramoshe02
548,John Rave*,27,KCR,147,645,4.39,396,61.4%,31.1%,16.4%,29.3%,23.2%,68.9%,0.0%,42.3%,76.2%,15.6%,7.5%,11,0,17.0%,25,8,10.9%,16,11,9,29,23.7%,0,0,0,ravejo01
549,Colin Rea,34,CHC,1,5,5.00,5,100.0%,40.0%,0.0%,60.0%,0.0%,60.0%,,60.0%,100.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0,reaco01
550,J.T. Realmuto,34,PHI,423,1682,3.98,1095,64.9%,24.7%,18.0%,30.3%,26.8%,75.2%,0.0%,48.9%,75.9%,28.6%,4.5%,19,2,15.1%,64,23,6.9%,29,19,19,79,19.4%,0,0,0,realmjt01
551,Rob Refsnyder,34,BOS,160,668,4.18,399,59.3%,30.3%,19.0%,26.3%,24.3%,69.7%,0.0%,41.6%,72.7%,25.0%,6.3%,10,1,18.8%,30,8,12.5%,20,11,6,35,14.6%,0,0,0,refsnro01
552,Hunter Renfroe,33,KCR,108,391,3.62,237,60.6%,27.4%,16.9%,22.4%,33.3%,72.6%,0.0%,44.0%,76.7%,28.7%,8.3%,9,0,21.3%,23,9,10.2%,11,8,8,13,38.1%,0,0,0,renfrhu01
553,Luis Rengifo#,28,LAA,435,1547,3.56,1037,66.9%,21.1%,18.2%,29.3%,31.2%,78.8%,0.0%,52.8%,76.8%,39.3%,3.7%,16,0,10.3%,45,28,8.5%,37,23,21,59,26.3%,0,0,0,rengilu01
