Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
1,CJ Abrams*,23,WSN,606,2261,3.73,1517,66.7%,20.6%,19.6%,32.2%,27.6%,79.4%,0.0%,53.3%,75.3%,38.9%,3.8%,23,2,13.4%,81,36,6.9%,42,24,26,102,20.3%,0,0,0,abramcj01
2,José Abreu,37,HOU,120,486,4.05,333,68.5%,25.2%,22.2%,26.7%,25.8%,74.8%,0.0%,51.2%,70.3%,21.7%,1.7%,2,0,11.7%,14,9,6.7%,8,6,4,24,14.3%,0,0,0,abreujo02
3,Wilyer Abreu*,25,BOS,450,1806,4.01,1152,63.8%,24.7%,22.3%,28.8%,24.2%,75.3%,0.0%,48.1%,70.4%,24.9%,4.9%,22,0,13.3%,60,27,8.7%,39,24,18,107,14.4%,0,0,0,abreuwi02
4,Luisangel Acuña,22,NYM,40,136,3.40,90,66.2%,17.8%,20.0%,25.6%,36.7%,82.2%,0.0%,54.4%,75.7%,42.5%,2.5%,1,0,12.5%,5,3,2.5%,1,1,0,6,0.0%,0,0,0,acunajo01
5,Ronald Acuña Jr.,26,ATL,222,905,4.08,540,59.7%,21.3%,21.7%,31.3%,25.7%,78.7%,0.0%,47.0%,72.5%,43.2%,4.1%,9,4,13.5%,30,15,9.5%,21,11,16,37,30.2%,0,0,0,acunaro01
6,Willy Adames,28,MIL,691,2733,3.96,1737,63.2%,22.2%,23.0%,29.5%,25.3%,77.8%,0.0%,49.5%,70.5%,31.0%,3.9%,27,3,12.9%,89,44,7.7%,53,30,35,138,20.2%,0,0,0,adamewi01
7,Jordyn Adams,24,LAA,38,158,4.16,107,67.3%,22.4%,24.3%,30.8%,21.5%,76.6%,0.0%,51.9%,67.5%,36.8%,0.0%,0,0,10.5%,4,3,5.3%,2,2,3,8,27.3%,0,0,0,adamsjo03
8,Riley Adams,28,WSN,130,531,4.08,345,64.5%,23.8%,21.4%,30.7%,24.1%,76.2%,0.0%,49.5%,71.9%,30.8%,4.6%,6,0,10.8%,14,5,10.0%,13,10,6,29,17.1%,0,0,0,adamsri03
9,Jo Adell,25,LAA,452,1840,4.07,1158,62.8%,21.0%,23.6%,31.0%,24.4%,79.0%,0.0%,49.7%,70.2%,38.1%,2.7%,12,5,11.5%,52,37,6.4%,29,21,32,94,25.4%,0,0,0,adelljo01
10,Ehire Adrianza#,34,LAA,29,118,4.07,76,63.9%,36.8%,22.4%,21.1%,19.7%,63.2%,0.0%,40.7%,64.6%,27.6%,6.9%,2,0,20.7%,6,1,10.3%,3,0,4,7,36.4%,0,0,0,adriaeh01
11,Nick Ahmed,34,TOT,229,851,3.72,602,70.7%,22.6%,20.1%,29.9%,27.4%,77.4%,0.0%,54.8%,74.0%,42.4%,2.6%,6,0,8.7%,20,8,7.4%,17,11,10,41,19.6%,0,0,0,ahmedni01
12,Nick Ahmed,34,SFG,173,644,3.72,459,71.2%,22.7%,18.7%,31.2%,27.5%,77.3%,0.0%,55.1%,75.8%,41.0%,3.5%,6,0,9.8%,17,7,9.8%,17,11,10,25,28.6%,0,0,0,ahmedni01
13,Nick Ahmed,34,LAD,49,181,3.69,125,69.1%,23.2%,23.2%,26.4%,27.2%,76.8%,0.0%,53.0%,69.8%,44.9%,0.0%,0,0,4.1%,2,1,0.0%,0,0,0,14,0.0%,0,0,0,ahmedni01
14,Nick Ahmed,34,SDP,7,26,3.71,18,69.2%,16.7%,33.3%,22.2%,27.8%,83.3%,0.0%,57.7%,60.0%,57.1%,0.0%,0,0,14.3%,1,0,0.0%,0,0,0,2,0.0%,0,0,0,ahmedni01
15,Ozzie Albies#,27,ATL,435,1649,3.79,1083,65.6%,13.8%,17.6%,37.3%,31.2%,86.1%,0.0%,56.6%,79.4%,43.2%,2.5%,11,2,11.0%,48,33,5.7%,25,21,9,56,13.8%,0,0,0,albieoz01
16,Kevin Alcántara,21,CHC,10,26,2.60,20,76.9%,35.0%,5.0%,15.0%,45.0%,65.0%,0.0%,50.0%,92.3%,50.0%,0.0%,0,0,0.0%,0,0,10.0%,1,0,0,1,0.0%,0,0,0,alcanke01
17,Blaze Alexander,25,ARI,185,714,3.86,456,63.9%,19.3%,23.9%,30.9%,25.9%,80.7%,0.0%,51.5%,70.4%,38.4%,4.9%,9,1,14.6%,27,16,6.5%,12,11,13,36,26.5%,0,0,0,alexabl01
18,CJ Alexander*,27,KCR,8,28,3.50,22,78.6%,13.6%,45.5%,18.2%,22.7%,86.4%,0.0%,67.9%,47.4%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,2,33.3%,0,0,0,alexacj01
19,Nick Allen,25,OAK,105,356,3.39,243,68.3%,27.6%,13.6%,25.9%,32.9%,72.4%,0.0%,49.4%,81.3%,28.6%,2.9%,3,0,8.6%,9,2,1.9%,2,0,6,13,30.0%,0,0,0,allenni02
20,Pete Alonso,29,NYM,696,2780,3.99,1726,61.7%,30.9%,17.1%,26.5%,25.5%,69.1%,0.0%,42.9%,75.2%,25.0%,6.3%,44,8,16.1%,112,34,9.9%,69,30,42,129,24.6%,0,0,0,alonspe01
21,Jose Altuve,34,HOU,683,2454,3.59,1624,66.0%,22.2%,17.2%,29.2%,31.3%,77.8%,0.0%,51.5%,77.9%,45.8%,4.7%,32,8,13.9%,95,26,8.8%,60,31,28,90,23.5%,0,0,0,altuvjo01
22,Armando Alvarez,29,OAK,39,139,3.56,96,68.6%,33.3%,12.5%,24.0%,30.2%,66.7%,0.0%,46.0%,81.3%,28.2%,5.1%,2,0,15.4%,6,2,12.8%,5,3,1,7,12.5%,0,0,0,alvarar01
23,Eddy Alvarez*,34,NYM,11,54,4.91,32,59.3%,34.4%,21.9%,21.9%,21.9%,65.6%,0.0%,38.9%,66.7%,27.3%,9.1%,1,0,18.2%,2,0,18.2%,2,1,0,2,0.0%,0,0,0,alvared01
24,Francisco Alvarez,22,NYM,342,1331,3.89,848,63.6%,27.6%,21.5%,24.5%,26.4%,72.4%,0.0%,46.1%,70.4%,37.1%,7.0%,24,5,16.4%,56,13,11.7%,40,17,24,62,27.9%,0,0,0,alvarfr01
25,Nacho Alvarez Jr.,21,ATL,32,119,3.72,80,67.2%,28.8%,20.0%,26.3%,25.0%,71.3%,0.0%,47.9%,71.9%,25.0%,3.1%,1,0,12.5%,4,2,9.4%,3,3,3,7,30.0%,0,0,0,alvarna01
26,Yordan Alvarez*,27,HOU,636,2264,3.56,1425,61.2%,23.8%,15.1%,28.6%,32.4%,76.0%,0.0%,47.8%,79.9%,34.9%,8.2%,52,6,17.5%,111,37,8.2%,52,28,27,67,28.7%,0,0,0,alvaryo01
27,Adael Amador#,21,COL,36,119,3.31,89,74.8%,16.9%,16.9%,33.7%,32.6%,83.1%,0.0%,62.2%,79.7%,52.8%,2.8%,1,0,5.6%,2,1,2.8%,1,1,0,6,0.0%,0,0,0,amadoad01
28,Jacob Amaya,25,TOT,72,301,4.18,187,61.9%,39.6%,16.6%,21.9%,21.4%,59.9%,0.0%,37.2%,71.7%,18.1%,2.8%,2,0,11.1%,8,4,16.7%,12,8,12,16,42.9%,0,0,0,amayaja01
29,Jacob Amaya,25,HOU,1,5,5.00,4,80.0%,50.0%,0.0%,25.0%,25.0%,50.0%,0.0%,40.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0,amayaja01
30,Jacob Amaya,25,CHW,71,296,4.17,183,61.6%,39.3%,16.9%,21.9%,21.3%,60.1%,0.0%,37.2%,71.2%,18.3%,2.8%,2,0,11.3%,8,4,16.9%,12,8,12,16,42.9%,0,0,0,amayaja01
31,Miguel Amaya,25,CHC,365,1291,3.54,871,67.4%,19.9%,18.0%,30.5%,31.5%,80.0%,0.0%,54.0%,77.4%,38.6%,3.8%,14,4,11.0%,40,19,4.4%,16,9,8,53,13.1%,0,0,0,amayami01
32,Brian Anderson,31,ATL,5,15,3.00,13,86.7%,46.2%,15.4%,15.4%,23.1%,53.8%,0.0%,46.7%,71.4%,20.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,1,50.0%,0,0,0,anderbr06
33,Tim Anderson,31,MIA,242,945,3.90,649,68.6%,20.5%,24.3%,29.6%,25.6%,79.5%,0.0%,54.6%,69.4%,32.2%,1.2%,3,0,7.9%,19,8,4.1%,10,7,12,56,17.6%,0,0,0,anderti01
34,Miguel Andujar,29,OAK,319,1176,3.69,790,67.1%,24.9%,12.0%,30.0%,33.0%,75.1%,0.0%,50.4%,84.0%,29.2%,2.8%,9,2,15.7%,50,26,5.0%,16,11,5,37,11.9%,0,0,0,andujmi01
35,Jonathan Aranda*,26,TBR,144,573,3.98,372,64.8%,30.1%,15.3%,28.5%,26.1%,69.9%,0.0%,45.4%,78.1%,34.0%,3.5%,5,1,11.8%,17,4,10.4%,15,11,14,18,43.8%,0,0,0,arandjo01
36,Orlando Arcia,29,ATL,603,2332,3.87,1495,64.0%,23.3%,20.4%,27.4%,28.8%,76.7%,0.0%,49.1%,73.4%,32.8%,2.5%,15,0,12.3%,74,46,7.1%,43,31,17,111,13.3%,0,0,0,arciaor01
37,Nolan Arenado,33,STL,635,2452,3.86,1602,65.0%,28.3%,12.3%,28.5%,30.8%,71.7%,0.0%,46.8%,82.8%,26.8%,3.9%,25,5,12.6%,80,35,9.1%,58,30,17,75,18.5%,0,0,0,arenano01
