Rk,Name,Age,Tm,IP,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1st%,30%,30c,30s,02%,02c,02s,02h,L/SO,S/SO,L/SO%,3pK,4pW,PAu,Pitu,Stru,Name-additional
24,Tyler Alexander*,30,CHW,44.0,174,673,3.87,442,65.7%,24.0%,21.9%,27.1%,26.9%,76.0%,0.0%,49.9%,71.1%,63.2%,5.2%,9,5,30.5%,53,27,0,9,32,22.0%,6,1,0,0,0,alexaty01
25,Kolby Allard*,27,CLE,51.2,220,782,3.55,524,67.0%,26.7%,14.5%,25.4%,33.4%,73.3%,0.0%,49.1%,80.2%,64.5%,3.6%,8,4,23.6%,52,31,4,10,22,31.3%,6,1,0,0,0,allarko01
26,Logan Allen*,26,CLE,123.1,538,2145,3.99,1323,61.7%,28.5%,14.6%,28.2%,28.7%,71.5%,0.0%,44.1%,79.6%,61.7%,4.6%,25,15,22.1%,119,53,9,22,76,22.4%,7,9,0,0,0,allenlo02
27,Dan Altavilla,32,CHW,26.2,110,411,3.74,252,61.3%,24.2%,16.7%,29.4%,29.8%,75.8%,0.0%,46.5%,78.0%,61.8%,6.4%,7,2,14.5%,16,8,1,4,13,23.5%,5,5,0,0,0,altavda01
28,Elvis Alvarado,26,ATH,26.2,113,458,4.05,277,60.5%,22.4%,25.6%,28.5%,23.5%,77.6%,0.0%,46.9%,67.0%,58.4%,8.8%,10,7,23.0%,26,9,0,7,26,21.2%,5,2,0,0,0,alvarel01
29,José Alvarado*,30,PHI,20.0,84,338,4.02,221,65.4%,25.8%,18.1%,31.2%,24.9%,74.2%,0.0%,48.5%,75.6%,63.1%,4.8%,4,4,27.4%,23,12,1,5,20,20.0%,3,0,0,0,0,alvarjo03
30,Jacob Amaya,26,CHW,1.0,3,6,2.00,5,83.3%,0.0%,0.0%,40.0%,60.0%,100.0%,0.0%,83.3%,100.0%,100.0%,0.0%,0,0,0.0%,0,0,0,0,0,,0,0,0,0,0,amayaja01
31,Grant Anderson,28,MIL,60.2,254,983,3.87,622,63.3%,25.7%,23.6%,24.8%,25.9%,74.3%,0.0%,47.0%,68.2%,63.4%,5.1%,13,5,30.7%,78,42,1,11,53,17.2%,12,5,0,0,0,andergr01
32,Ian Anderson,27,LAA,9.1,51,203,3.98,120,59.1%,22.5%,17.5%,30.0%,30.0%,77.5%,0.0%,45.8%,77.4%,47.1%,9.8%,5,1,17.6%,9,3,0,1,7,12.5%,1,3,0,0,0,anderia01
33,Nick Anderson,34,COL,8.2,39,163,4.18,115,70.6%,20.9%,13.0%,37.4%,28.7%,79.1%,0.0%,55.8%,83.5%,69.2%,0.0%,0,0,46.2%,18,8,1,1,5,16.7%,0,0,0,0,0,anderni01
34,Shaun Anderson,30,LAA,11.1,56,217,3.88,141,65.0%,25.5%,17.7%,27.0%,29.8%,74.5%,0.0%,48.4%,76.2%,71.4%,1.8%,1,1,21.4%,12,5,1,1,10,9.1%,1,0,0,0,0,andersh01
35,Tyler Anderson*,35,LAA,126.1,558,2171,3.89,1388,63.9%,23.7%,19.2%,28.0%,29.1%,76.3%,0.0%,48.8%,74.8%,59.1%,5.6%,31,17,27.2%,152,97,8,25,73,25.5%,20,10,0,0,0,anderty01
36,Luarbert Arias,24,MIA,9.1,50,192,3.84,120,62.5%,25.0%,12.5%,34.2%,28.3%,75.0%,0.0%,46.9%,83.3%,62.0%,8.0%,4,2,32.0%,16,10,1,4,5,44.4%,1,2,0,0,0,ariaslu01
37,Shawn Armstrong,34,TEX,55.1,214,838,3.92,553,66.0%,30.0%,17.5%,28.2%,24.2%,70.0%,0.0%,46.2%,74.9%,68.2%,2.3%,5,3,35.0%,75,42,4,21,37,36.2%,11,2,0,0,0,armstsh01
38,Spencer Arrighetti,25,HOU,23.1,109,421,3.86,256,60.8%,27.7%,22.3%,22.7%,27.3%,72.3%,0.0%,43.9%,69.2%,64.2%,4.6%,5,4,22.0%,24,12,1,4,17,19.0%,5,1,0,0,0,arrigsp01
39,Aaron Ashby*,27,MIL,40.0,160,613,3.83,375,61.2%,34.1%,17.1%,22.9%,25.9%,65.9%,0.0%,40.3%,74.1%,58.8%,3.1%,5,3,21.9%,35,19,2,15,29,34.1%,7,2,0,0,0,ashbyaa01
40,Braxton Ashcraft,25,PIT,41.2,178,656,3.69,437,66.6%,23.8%,17.6%,29.5%,28.8%,76.0%,0.0%,50.6%,76.6%,57.3%,6.7%,12,9,25.8%,46,26,3,11,25,30.6%,8,2,0,0,0,ashcrbr01
41,Graham Ashcraft,27,CIN,54.2,238,875,3.68,574,65.6%,24.7%,22.6%,24.6%,28.0%,75.3%,0.0%,49.4%,69.9%,61.3%,2.1%,5,2,29.0%,69,50,7,10,44,18.5%,12,3,0,0,0,ashcrgr01
42,Javier Assad,27,CHC,8.0,39,135,3.46,92,68.1%,25.0%,12.0%,29.3%,33.7%,75.0%,0.0%,51.1%,84.1%,69.2%,0.0%,0,0,23.1%,9,5,0,0,5,0.0%,1,0,0,0,0,assadja01
43,Luinder Avila,23,KCR,1.0,3,10,3.33,6,60.0%,16.7%,33.3%,16.7%,33.3%,83.3%,0.0%,50.0%,60.0%,33.3%,0.0%,0,0,33.3%,1,0,0,0,1,0.0%,0,0,0,0,0,avilalu02
44,Lake Bachar,30,MIA,54.2,226,863,3.82,548,63.5%,29.9%,21.2%,23.4%,25.5%,70.1%,0.0%,44.5%,69.8%,58.8%,6.2%,14,6,30.1%,68,43,6,19,41,31.7%,14,5,0,0,0,bachala01
45,Sam Bachman,25,LAA,14.1,65,235,3.62,153,65.1%,30.1%,17.6%,22.9%,29.4%,69.9%,0.0%,45.5%,74.8%,72.3%,7.7%,5,4,30.8%,20,13,1,4,9,30.8%,3,1,0,0,0,bachmsa01
46,Kyle Backhus*,27,ARI,19.2,84,318,3.79,213,67.0%,30.5%,16.9%,24.9%,27.7%,69.5%,0.0%,46.5%,75.7%,60.7%,2.4%,2,2,39.3%,33,23,2,8,12,40.0%,4,0,0,0,0,backhky01
47,Bryan Baker,30,TOT,51.0,203,819,4.03,546,66.7%,25.5%,23.1%,29.1%,22.3%,74.5%,0.0%,49.7%,69.0%,62.1%,5.9%,12,10,28.6%,58,34,0,14,53,20.9%,13,2,0,0,0,bakerbr01
48,Bryan Baker,30,BAL,38.1,152,603,3.97,403,66.8%,25.8%,21.6%,29.5%,23.1%,74.2%,0.0%,49.6%,70.9%,61.8%,7.2%,11,9,24.3%,37,21,0,11,38,22.4%,12,2,0,0,0,bakerbr01
49,Bryan Baker,30,TBR,12.2,51,216,4.24,143,66.2%,24.5%,27.3%,28.0%,20.3%,75.5%,0.0%,50.0%,63.9%,62.7%,2.0%,1,1,41.2%,21,13,0,3,15,16.7%,1,0,0,0,0,bakerbr01
50,Anthony Banda*,31,LAD,54.1,228,898,3.94,555,61.8%,22.3%,20.0%,30.8%,26.8%,77.7%,0.0%,48.0%,74.2%,58.8%,8.8%,20,11,24.1%,55,34,1,14,36,28.0%,9,5,0,0,0,bandaan01
51,Tanner Banks*,33,PHI,54.0,210,855,4.07,563,65.8%,23.6%,17.9%,31.8%,26.6%,76.4%,0.0%,50.3%,76.5%,65.2%,3.3%,7,4,27.6%,58,24,3,12,40,23.1%,8,3,0,0,0,banksta01
52,Scott Barlow,32,CIN,56.0,244,1016,4.16,622,61.2%,31.2%,20.9%,24.8%,23.2%,68.8%,0.0%,42.1%,69.6%,55.7%,5.7%,14,5,27.5%,67,35,2,11,50,18.0%,11,6,0,0,0,barlosc01
53,Jacob Barnes,35,TOR,8.0,36,146,4.06,86,58.9%,20.9%,20.9%,25.6%,32.6%,79.1%,0.0%,46.6%,73.5%,50.0%,5.6%,2,1,19.4%,7,4,0,2,3,40.0%,0,1,0,0,0,barneja01
54,Tucker Barnhart,34,TEX,2.0,11,22,2.00,15,68.2%,26.7%,0.0%,6.7%,66.7%,73.3%,0.0%,50.0%,100.0%,90.9%,0.0%,0,0,0.0%,0,0,0,0,0,,0,0,0,0,0,barnhtu01
55,Chris Bassitt,36,TOR,138.2,601,2280,3.79,1475,64.7%,26.3%,16.7%,28.6%,28.3%,73.6%,0.0%,47.6%,77.2%,61.2%,3.0%,18,13,24.3%,146,76,9,34,98,25.8%,16,5,0,0,0,bassich01
56,Jake Bauers*,29,MIL,5.0,29,79,2.72,41,51.9%,19.5%,0.0%,24.4%,56.1%,80.5%,0.0%,41.8%,100.0%,41.4%,6.9%,2,1,6.9%,2,0,0,1,0,100.0%,0,1,0,0,0,bauerja01
57,Félix Bautista,30,BAL,34.2,142,628,4.42,372,59.2%,23.7%,27.2%,30.4%,18.5%,76.1%,0.0%,45.1%,64.1%,48.6%,10.6%,15,9,24.6%,35,21,1,8,42,16.0%,5,6,0,0,0,bautife01
58,Shane Baz,26,TBR,135.0,577,2206,3.82,1437,65.1%,24.4%,19.3%,29.9%,26.4%,75.6%,0.0%,49.3%,74.4%,60.5%,4.2%,24,18,28.1%,162,95,12,32,108,22.9%,26,6,0,0,0,bazsh01
59,Eduard Bazardo,29,SEA,61.1,245,959,3.91,623,65.0%,36.0%,12.7%,26.0%,25.4%,64.0%,0.0%,41.6%,80.2%,65.7%,5.3%,13,7,30.6%,75,35,3,28,32,46.7%,12,4,0,0,0,bazared01
60,Tristan Beck,29,SFG,32.1,135,488,3.61,320,65.6%,25.0%,14.7%,27.5%,32.8%,75.0%,0.0%,49.2%,80.4%,61.5%,3.0%,4,3,24.4%,33,17,3,8,10,44.4%,2,1,0,0,0,becktr01
61,David Bednar,30,TOT,46.1,188,763,4.06,511,67.0%,29.2%,21.5%,28.2%,21.1%,70.8%,0.0%,47.4%,69.6%,61.7%,3.2%,6,4,35.1%,66,42,4,16,49,24.6%,14,0,0,0,0,bednada01
62,David Bednar,30,PIT,38.0,155,626,4.04,423,67.6%,28.8%,20.1%,29.3%,21.7%,71.2%,0.0%,48.1%,71.8%,61.3%,3.2%,5,3,36.1%,56,37,4,12,39,23.5%,12,0,0,0,0,bednada01
63,David Bednar,30,NYY,8.1,33,137,4.15,88,64.2%,30.7%,28.4%,22.7%,18.2%,69.3%,0.0%,44.5%,59.0%,63.6%,3.0%,1,1,30.3%,10,5,0,4,10,28.6%,2,0,0,0,0,bednada01
64,Jalen Beeks*,31,ARI,47.2,198,768,3.88,473,61.6%,18.0%,22.8%,30.4%,28.8%,82.0%,0.0%,50.5%,72.2%,60.1%,8.1%,16,10,20.2%,40,16,2,5,36,12.2%,7,4,0,0,0,beeksja02
65,Clayton Beeter,26,TOT,9.2,44,193,4.39,111,57.5%,27.0%,16.2%,32.4%,24.3%,73.0%,0.0%,42.0%,77.8%,56.8%,15.9%,7,6,29.5%,13,9,2,2,7,22.2%,0,1,0,0,0,beetecl01
66,Clayton Beeter,26,NYY,3.2,20,85,4.25,52,61.2%,21.2%,13.5%,36.5%,28.8%,78.8%,0.0%,48.2%,82.9%,70.0%,10.0%,2,2,25.0%,5,3,1,0,1,0.0%,0,0,0,0,0,beetecl01
67,Clayton Beeter,26,WSN,6.0,24,108,4.50,59,54.6%,32.2%,18.6%,28.8%,20.3%,67.8%,0.0%,37.0%,72.5%,45.8%,20.8%,5,4,33.3%,8,6,1,2,6,25.0%,0,1,0,0,0,beetecl01
68,Brayan Bello,26,BOS,128.0,542,2069,3.82,1287,62.2%,25.4%,15.1%,29.5%,30.0%,74.6%,0.0%,46.4%,79.8%,62.2%,4.2%,23,14,24.7%,134,72,6,23,74,23.7%,15,9,0,0,0,bellobr01
69,Valente Bellozo,25,MIA,67.1,285,1083,3.80,692,63.9%,23.0%,15.5%,30.3%,31.2%,77.0%,0.0%,49.2%,79.9%,58.9%,3.5%,10,7,24.6%,70,34,3,10,35,22.2%,4,3,0,0,0,bellova01
70,Anthony Bender,30,MIA,50.0,205,783,3.82,511,65.3%,36.4%,13.1%,23.3%,27.2%,63.6%,0.0%,41.5%,79.4%,57.6%,5.4%,11,5,24.9%,51,27,2,11,31,26.2%,7,4,0,0,0,bendean01
71,Ryan Bergert,25,TOT,52.1,215,884,4.11,562,63.6%,25.6%,17.6%,31.9%,24.9%,74.4%,0.0%,47.3%,76.3%,60.0%,6.0%,13,10,30.7%,66,43,4,12,39,23.5%,12,3,0,0,0,bergery01
72,Ryan Bergert,25,SDP,35.2,149,615,4.13,379,61.6%,24.5%,17.2%,33.0%,25.3%,75.5%,0.0%,46.5%,77.3%,59.7%,6.7%,10,8,26.8%,40,23,1,10,24,29.4%,9,2,0,0,0,bergery01
73,Ryan Bergert,25,KCR,16.2,66,269,4.08,183,68.0%,27.9%,18.6%,29.5%,24.0%,72.1%,0.0%,49.1%,74.2%,60.6%,4.5%,3,2,39.4%,26,20,3,2,15,11.8%,3,1,0,0,0,bergery01
74,Brennan Bernardino*,33,BOS,43.2,191,719,3.76,451,62.7%,30.6%,14.6%,25.9%,28.8%,69.4%,0.0%,43.5%,78.9%,59.2%,6.3%,12,6,23.6%,45,25,1,12,23,33.3%,8,2,0,0,0,bernabr01
75,José Berríos,31,TOR,146.1,615,2239,3.64,1427,63.7%,26.3%,16.3%,27.0%,30.4%,73.7%,0.0%,47.0%,77.9%,64.1%,5.0%,31,19,22.0%,135,74,9,38,83,31.4%,20,10,0,0,0,berrijo01
76,Jon Berti,35,CHC,3.2,19,51,2.68,27,52.9%,33.3%,3.7%,7.4%,55.6%,66.7%,0.0%,35.3%,94.4%,57.9%,15.8%,3,2,5.3%,1,1,0,0,0,,0,1,0,0,0,bertijo01
77,Tanner Bibee,26,CLE,136.2,580,2290,3.95,1457,63.6%,28.1%,17.5%,26.5%,27.8%,71.8%,0.0%,45.7%,75.5%,62.8%,1.9%,11,8,24.1%,140,61,10,47,77,37.9%,15,2,0,0,0,bibeeta01
78,Osvaldo Bido,29,ATH,62.1,285,1060,3.72,675,63.7%,23.1%,18.2%,27.6%,31.1%,76.9%,0.0%,49.0%,76.3%,63.9%,2.1%,6,2,21.1%,60,28,4,11,34,24.4%,7,4,0,0,0,bidoos01
79,Hunter Bigge,27,TBR,15.0,60,227,3.78,146,64.3%,19.2%,22.6%,29.5%,28.8%,80.8%,0.0%,52.0%,72.0%,53.3%,1.7%,1,1,31.7%,19,9,1,0,12,0.0%,0,0,0,0,0,biggehu01
80,Jake Bird,29,TOT,55.1,251,952,3.79,637,66.9%,34.2%,18.5%,22.9%,24.2%,65.6%,0.0%,43.9%,71.6%,59.0%,6.0%,15,6,33.1%,83,53,6,17,49,25.8%,18,5,0,0,0,birdja01
81,Jake Bird,29,COL,53.1,239,903,3.78,608,67.3%,33.7%,18.6%,23.2%,24.3%,66.1%,0.0%,44.5%,71.7%,59.4%,5.9%,14,6,33.5%,80,53,6,16,46,25.8%,18,5,0,0,0,birdja01
82,Jake Bird,29,NYY,2.0,12,49,4.08,29,59.2%,44.8%,17.2%,17.2%,20.7%,55.2%,0.0%,32.7%,68.8%,50.0%,8.3%,1,0,25.0%,3,0,0,1,3,25.0%,0,0,0,0,0,birdja01
83,Hayden Birdsong,23,SFG,65.2,298,1194,4.01,703,58.9%,25.7%,21.1%,26.5%,26.7%,74.3%,0.0%,43.7%,71.6%,54.0%,8.4%,25,15,21.8%,65,33,7,14,54,20.6%,8,10,0,0,0,birdsha01
84,Spencer Bivens,31,SFG,60.1,262,989,3.77,667,67.4%,27.6%,12.4%,31.3%,28.6%,72.4%,0.0%,48.8%,82.8%,63.7%,2.7%,7,2,33.6%,88,57,11,19,29,39.6%,6,4,0,0,0,bivensp01
85,Mason Black,25,SFG,4.0,19,74,3.89,53,71.6%,18.9%,15.1%,39.6%,26.4%,81.1%,0.0%,58.1%,81.4%,68.4%,0.0%,0,0,31.6%,6,5,1,2,3,40.0%,1,0,0,0,0,blackma01
86,Paul Blackburn,31,NYM,23.2,110,424,3.85,264,62.3%,24.6%,15.9%,28.0%,31.4%,75.4%,0.0%,46.9%,78.9%,54.5%,2.7%,3,1,20.0%,22,10,2,4,14,22.2%,3,2,0,0,0,blackpa01
87,Bradley Blalock,24,COL,47.0,217,804,3.71,496,61.7%,22.8%,12.1%,29.8%,35.3%,77.2%,0.0%,47.6%,84.3%,52.1%,1.4%,3,2,16.6%,36,20,4,2,20,9.1%,0,1,0,0,0,blalobr01
88,Ronel Blanco,31,HOU,48.1,199,794,3.99,502,63.2%,24.7%,24.1%,25.1%,26.1%,75.3%,0.0%,47.6%,68.0%,58.8%,5.5%,11,4,24.6%,49,28,2,6,42,12.5%,9,7,0,0,0,blancro01
89,Scott Blewett,29,TOT,44.1,196,711,3.63,444,62.4%,22.5%,21.4%,24.5%,31.5%,77.5%,0.0%,48.4%,72.4%,63.3%,4.6%,9,5,19.9%,39,25,3,5,30,14.3%,11,4,0,0,0,blewesc01
90,Scott Blewett,29,TOT,28.0,122,455,3.73,290,63.7%,22.1%,21.0%,25.5%,31.4%,77.9%,0.0%,49.7%,73.0%,62.3%,3.3%,4,4,19.7%,24,16,2,3,19,13.6%,7,0,0,0,0,blewesc01
91,Scott Blewett,29,MIN,4.2,19,67,3.53,42,62.7%,23.8%,31.0%,14.3%,31.0%,76.2%,0.0%,47.8%,59.4%,47.4%,0.0%,0,0,5.3%,1,1,0,1,4,20.0%,1,0,0,0,0,blewesc01
92,Scott Blewett,29,BAL,23.1,103,388,3.77,248,63.9%,21.8%,19.4%,27.4%,31.5%,78.2%,0.0%,50.0%,75.3%,65.0%,3.9%,4,4,22.3%,23,15,2,2,15,11.8%,6,0,0,0,0,blewesc01
93,Scott Blewett,29,ATL,16.1,74,256,3.46,154,60.2%,23.4%,22.1%,22.7%,31.8%,76.6%,0.0%,46.1%,71.2%,64.9%,6.8%,5,1,20.3%,15,9,1,2,11,15.4%,4,4,0,0,0,blewesc01
94,AJ Blubaugh,24,HOU,9.0,38,154,4.05,98,63.6%,14.3%,23.5%,36.7%,25.5%,85.7%,0.0%,54.5%,72.6%,65.8%,0.0%,0,0,31.6%,12,6,1,2,9,18.2%,4,0,0,0,0,blubaaj01
95,Cody Bolton,27,CLE,2.0,10,40,4.00,28,70.0%,28.6%,7.1%,32.1%,32.1%,71.4%,0.0%,50.0%,90.0%,60.0%,0.0%,0,0,40.0%,4,2,1,0,1,0.0%,0,0,0,0,0,boltoco01
96,Cam Booser*,33,CHW,26.0,117,466,3.98,295,63.3%,24.4%,21.4%,30.2%,24.1%,75.6%,0.0%,47.9%,71.7%,57.3%,4.3%,5,4,35.9%,42,25,1,3,26,10.3%,5,1,0,0,0,booseca01
97,Ryan Borucki*,31,PIT,30.2,126,517,4.10,328,63.4%,25.0%,21.0%,27.7%,26.2%,75.0%,0.0%,47.6%,72.0%,54.8%,4.8%,6,5,32.5%,41,19,3,7,20,25.9%,6,0,0,0,0,borucry01
98,Caleb Boushley,31,TEX,36.2,155,583,3.76,361,61.9%,30.5%,15.2%,24.4%,29.9%,69.5%,0.0%,43.1%,78.1%,61.9%,2.6%,4,2,19.4%,30,11,4,17,18,48.6%,3,2,0,0,0,boushca01
99,Ben Bowden*,30,ATH,9.2,44,172,3.91,111,64.5%,23.4%,15.3%,30.6%,30.6%,76.6%,0.0%,49.4%,80.0%,79.5%,4.5%,2,1,43.2%,19,10,1,3,2,60.0%,3,1,0,0,0,bowdebe01
100,Jonathan Bowlan,28,KCR,26.2,114,439,3.85,273,62.2%,22.3%,24.2%,24.5%,28.9%,77.7%,0.0%,48.3%,68.9%,68.4%,3.5%,4,3,16.7%,19,8,0,3,21,12.5%,2,1,0,0,0,bowlajo01
101,Matt Bowman,34,BAL,23.1,108,431,3.99,271,62.9%,27.7%,12.9%,28.8%,30.6%,72.3%,0.0%,45.5%,82.1%,63.9%,3.7%,4,3,22.2%,24,9,2,5,12,29.4%,0,1,0,0,0,bowmama01
102,Matthew Boyd*,34,CHC,142.2,560,2135,3.81,1447,67.8%,23.4%,17.2%,31.9%,27.4%,76.6%,0.0%,51.9%,77.5%,68.9%,2.1%,12,7,34.6%,194,95,11,17,109,13.5%,20,5,0,0,0,boydma01
103,Joe Boyle,25,TBR,32.2,139,580,4.17,344,59.3%,29.1%,21.5%,24.7%,24.7%,70.9%,0.0%,42.1%,69.7%,51.8%,5.8%,8,2,20.1%,28,13,1,7,27,20.6%,3,5,0,0,0,boylejo01
104,Taj Bradley,24,TBR,111.1,471,1788,3.80,1121,62.7%,22.9%,17.2%,30.6%,29.3%,77.1%,0.0%,48.3%,77.7%,59.9%,4.0%,19,9,25.3%,119,71,5,24,71,25.3%,19,10,0,0,0,bradlta01
105,Matt Brash,27,SEA,32.1,133,553,4.16,335,60.6%,27.8%,20.3%,27.5%,24.5%,72.2%,0.0%,43.8%,71.9%,57.9%,4.5%,6,2,22.6%,30,13,1,9,28,24.3%,4,2,0,0,0,brashma01
106,Ryan Brasier,37,CHC,24.0,96,371,3.86,241,65.0%,21.2%,17.0%,31.5%,30.3%,78.8%,0.0%,51.2%,78.4%,59.4%,3.1%,3,2,22.9%,22,13,3,6,13,31.6%,2,1,0,0,0,brasiry01
107,Huascar Brazobán,35,NYM,51.2,216,839,3.88,530,63.2%,24.5%,20.2%,30.0%,25.3%,75.5%,0.0%,47.7%,73.3%,58.3%,7.9%,17,7,26.4%,57,29,4,5,46,9.8%,9,9,0,0,0,brazohu01
108,John Brebbia,35,DET,18.2,93,375,4.03,237,63.2%,28.3%,13.5%,33.3%,24.9%,71.7%,0.0%,45.3%,81.2%,74.2%,6.5%,6,3,40.9%,38,24,5,7,13,35.0%,2,3,0,0,0,brebbjo01
109,Jonah Bride,29,MIN,6.0,37,114,3.08,67,58.8%,23.9%,6.0%,25.4%,44.8%,76.1%,0.0%,44.7%,92.2%,54.1%,2.7%,1,0,13.5%,5,2,0,1,1,50.0%,0,1,0,0,0,bridejo01
