Rk,Name,Age,Tm,IP,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1st%,30%,30c,30s,02%,02c,02s,02h,L/SO,S/SO,L/SO%,3pK,4pW,PAu,Pitu,Stru,Name-additional
1,Andrew Abbott*,26,CIN,130.0,523,2041,3.90,1347,66.0%,24.0%,18.2%,30.0%,27.8%,76.0%,0.0%,50.2%,76.1%,62.9%,4.2%,22,14,30.0%,157,85,9,31,81,27.7%,15,8,0,0,0,abbotan01
2,Mick Abel,23,PHI,25.0,108,454,4.20,293,64.5%,23.5%,18.4%,31.7%,26.3%,76.5%,0.0%,49.3%,75.9%,64.8%,4.6%,5,4,31.5%,34,17,1,5,16,23.8%,6,1,0,0,0,abelmi01
3,Bryan Abreu,28,HOU,56.0,228,925,4.06,567,61.3%,26.5%,31.6%,21.5%,20.5%,73.5%,0.0%,45.1%,57.1%,57.9%,4.4%,10,6,23.2%,53,29,9,14,70,16.7%,9,4,0,0,0,abreubr01
4,Jason Adam,33,SDP,60.0,249,994,3.99,634,63.8%,23.8%,24.9%,26.7%,24.4%,76.0%,0.0%,48.5%,67.1%,54.2%,5.6%,14,7,23.7%,59,30,4,19,46,28.8%,9,4,0,0,0,adamja01
5,Travis Adams,25,MIN,23.1,112,459,4.10,284,61.9%,24.6%,18.3%,30.3%,26.8%,75.4%,0.0%,46.6%,75.7%,60.7%,2.7%,3,1,19.6%,22,8,0,5,16,23.8%,5,2,0,0,0,adamstr01
6,Ty Adcock,28,NYM,3.0,14,82,5.86,52,63.4%,15.4%,15.4%,55.8%,13.5%,84.6%,0.0%,53.7%,81.8%,64.3%,7.1%,1,1,50.0%,7,3,0,1,4,20.0%,0,0,0,0,0,adcocty01
7,Zach Agnos,24,COL,29.2,132,503,3.81,295,58.6%,18.0%,23.4%,25.1%,33.6%,82.0%,0.0%,48.1%,71.5%,54.5%,5.3%,7,5,15.2%,20,11,3,1,16,5.9%,2,2,0,0,0,agnosza01
8,Keegan Akin*,30,BAL,45.1,197,786,3.99,518,65.9%,21.6%,18.9%,35.1%,24.3%,78.4%,0.0%,51.7%,75.9%,67.0%,3.6%,7,3,33.0%,65,34,2,10,34,22.7%,7,2,0,0,0,akinke01
9,Jorge Alcalá,29,TOT,43.9,203,844,4.16,536,63.5%,25.6%,18.8%,31.7%,23.9%,74.4%,0.0%,47.3%,74.7%,62.6%,6.4%,13,10,32.5%,66,40,6,14,35,28.6%,13,3,0,0,0,alcaljo01
10,Jorge Alcalá,29,TOT,40.2,191,791,4.14,498,63.0%,25.7%,18.9%,31.3%,24.1%,74.3%,0.0%,46.8%,74.6%,60.7%,6.8%,13,10,30.9%,59,36,5,12,34,26.1%,13,3,0,0,0,alcaljo01
11,Jorge Alcalá,29,MIN,24.1,115,477,4.15,299,62.7%,25.8%,18.1%,32.8%,23.4%,74.2%,0.0%,46.5%,75.7%,60.0%,4.3%,5,3,32.2%,37,23,4,8,20,28.6%,8,2,0,0,0,alcaljo01
12,Jorge Alcalá,29,BOS,16.1,76,314,4.13,199,63.4%,25.6%,20.1%,29.1%,25.1%,74.4%,0.0%,47.1%,73.0%,61.8%,10.5%,8,7,28.9%,22,13,1,4,14,22.2%,5,1,0,0,0,alcaljo01
13,Jorge Alcalá,29,STL,3.1,12,53,4.42,38,71.7%,23.7%,18.4%,36.8%,21.1%,76.3%,0.0%,54.7%,75.9%,91.7%,0.0%,0,0,58.3%,7,4,1,2,1,66.7%,0,0,0,0,0,alcaljo01
14,Sandy Alcantara,29,MIA,127.0,557,2167,3.89,1399,64.6%,25.6%,14.5%,30.9%,29.0%,74.4%,0.0%,48.0%,80.5%,61.4%,3.8%,21,9,30.5%,170,102,11,30,67,30.9%,12,12,0,0,0,alcansa01
15,Sam Aldegheri*,23,LAA,4.1,25,113,4.52,64,56.6%,29.7%,12.5%,34.4%,23.4%,70.3%,0.0%,39.8%,82.2%,40.0%,12.0%,3,3,20.0%,5,1,0,2,2,50.0%,0,0,0,0,0,aldegsa01
16,Jason Alexander,32,TOT,43.2,190,711,3.74,435,61.2%,29.2%,16.8%,23.0%,31.0%,70.8%,0.0%,43.3%,76.3%,68.4%,4.7%,9,6,21.6%,41,13,2,5,30,14.3%,5,3,0,0,0,alexaja01
17,Jason Alexander,32,ATH,6.0,35,123,3.51,75,61.0%,37.3%,13.3%,16.0%,33.3%,62.7%,0.0%,38.2%,78.7%,62.9%,8.6%,3,1,20.0%,7,5,1,2,3,40.0%,3,2,0,0,0,alexaja01
18,Jason Alexander,32,HOU,37.2,155,588,3.79,360,61.2%,27.5%,17.5%,24.4%,30.6%,72.5%,0.0%,44.4%,75.9%,69.7%,3.9%,6,5,21.9%,34,8,1,3,27,10.0%,2,1,0,0,0,alexaja01
19,Scott Alexander*,35,TOT,17.2,81,313,3.86,185,59.1%,24.3%,14.1%,27.6%,34.1%,75.7%,0.0%,44.7%,81.4%,58.0%,6.2%,5,3,14.8%,12,3,0,2,6,25.0%,2,2,0,0,0,alexasc02
20,Scott Alexander*,35,COL,16.1,72,270,3.75,159,58.9%,25.8%,13.8%,23.9%,36.5%,74.2%,0.0%,43.7%,81.4%,56.9%,5.6%,4,2,13.9%,10,2,0,2,4,33.3%,1,2,0,0,0,alexasc02
21,Scott Alexander*,35,SFG,1.1,9,43,4.78,26,60.5%,15.4%,15.4%,50.0%,19.2%,84.6%,0.0%,51.2%,81.8%,66.7%,11.1%,1,1,22.2%,2,1,0,0,2,0.0%,1,0,0,0,0,alexasc02
22,Tyler Alexander*,30,TOT,80.1,339,1298,3.83,857,66.0%,25.3%,17.5%,29.2%,28.0%,74.7%,0.0%,49.3%,76.6%,64.9%,3.8%,13,8,28.6%,97,52,4,24,47,33.8%,10,2,0,0,0,alexaty01
23,Tyler Alexander*,30,MIL,36.1,165,625,3.79,415,66.4%,26.7%,12.8%,31.3%,29.2%,73.3%,0.0%,48.6%,82.6%,66.7%,2.4%,4,3,26.7%,44,25,4,15,15,50.0%,4,1,0,0,0,alexaty01
